word,phonetic,count,translation
and,ænd,3,"conj. 和, 与\n[计] 与"
1998,,3,
by,bai,3,"prep. 被, 经, 由, 在...之旁\nadv. 经过, 在近处"
as,æz,3,"adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统"
the,ðә,3,art. 那
uva,,3,[医] 葡萄干
in,in,2,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着\nadv. 进入, 朝里, 在里面, 在屋里\na. 在里面的, 在朝的\nn. 执政者, 交情"
october,,2,
american,,2,
studies,,2,n. 研究；学习；学业（study的复数）
this,θis,2,"pron. 这, 本\na. 这, 本\nadv. 这么"
of,ɒv,2,"prep. 的, 属于"
virginia,,2,
available,ә'veilәbl,2,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的"
university,.ju:ni'vә:siti,2,n. 大学
version,'vә:ʒәn,2,"n. 一种描述, 版本, 译文\n[计] 版本"
first,fә:st,1,"adv. 首先, 第一, 优先\na. 第一的\nnum. 第一\nn. 开始, 第一"
with,wið,1,"prep. 和...在一起, 以, 由于"
non-commercial,'nɒnkəm'ɜ:ʃl,1," 非贸易"
use,ju:s,1,"n. 使用, 习惯, 使用价值, 用法, 使用权\nvt. 使用, 利用, 运用, 耗费\nvi. 惯常"
included,in'klu:did,1,a. 包括在内\n[计] 包含的
digitized,,1,a. 数字化的
about,ә'baut,1,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围"
walden,,1,
freely,'fri:li,1,"adv. 自由地, 随意地, 无拘束地, 直率地, 坦白地, 慷慨地, 免费地, 大量地\n[计] 浮动地"
entirety,in'taiәti,1,"n. 全部, 整体\n[法] 共有制, 整体, 全部"
copy,'kɒpi,1,"n. 副本, 摹仿, 一册\nv. 复印, 抄袭, 复制\n[计] 副本; 复制; DOS内部命令:复制文件\n将几个文件合并成一个文件, 以及将文件传至外设或在设备之间传送"
distributed,di'stribju:tid,1,"a. 分布式的\n[计] 分散对齐, 分布式处理"
is,iz,1,"be的现在式第三人称\n[计] 加下标次序, 信息系统, 国际标准, 中间系统"
header,'hedә,1,"n. 收割台\nn. 顶梁, 域名\n[计] 页眉, 域名, 数据头, 电子邮件头"
its,its,1,pron. 它的
thoreau,,1,
html,,1,
provided,prә'vaidid,1,"conj. 倘若, 以...为条件"
for,fɒ:,1,"prep. 为, 因为, 至于\nconj. 因为\n[计] DOS批处理命令:对一组参数重复执行指定的命令"
2003,,1,
program,'prәugræm,1,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划\nvt. 规划, 拟...计划\nvi. 安排节目, 编程序\n[计] 程序"
at,æt,1,"prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票"
august,ɒ:'gʌst. 'ɒ:gәst,1,"n. 八月\na. 威严的, 令人敬畏的"
charlottesville,,1,
construction,kәn'strʌkʃәn,1,"n. 建筑, 构造, 建筑物\n[化] 施工"
tagged,,1,a. 标记的；示踪的；加标记的
electronic,.ilek'trɒnik,1,a. 电子的\n[计] 电子工业协会接口
va,,1,
that,ðæt,1,"a. 那, 那个\nconj. 以致, 因为\npron. 那\nadv. 那么, 那样"
david,'deivid,1,n. 大卫；戴维（男子名）
any,'eni,1,a. 任何的\npron. 任何
henry,'henri,1,n. 亨利\n[医] 亨[利](电感应单位)
copy-edited,,1,
from,frɒm,1,"prep. 从, 来自, 根据"
spell-checked,,1,
overall,'әuvәrɒ:l,1,"a. 全部的, 全体的, 从头至尾的, 一切在内的\nadv. 从头到尾, 总的说来\nn. 罩衫, 工作服"
design,di'zain,1,"n. 设计, 图样, 方案, 企图\nv. 设计, 计划"
