word,phonetic,count,translation
to,tu:,780,"prep. 到, 向, 趋于\nadv. 向前"
a,ei,660,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步"
i,,480,
it,it,361,"pron. 它\n[计] 信息论, 输入终端, 智能终端, 内捕获"
not,nɒt,285,"adv. 不, 非, 未\n[计] 非"
have,hæv,217,"vt. 有, 怀有, 拿, 进行\naux. 已经"
or,ɒ:,208,"conj. 或, 或者\n[计] 或"
be,bi:,203,"v. 是, 表示, 在\n[计] 后端, 总线允许"
which,hwitʃ,191,"pron. 哪一个, 那一个"
but,bʌt,188,prep. 除了\nconj. 但是\nadv. 仅仅
my,mai,183,pron. 我的\n[医] 迈尔(热容单位)
are,ɑ:,180,be的现在时复数或第二人称单数
his,hiz,173,pron. 他的\n[化] 组氨酸
he,hi:,163,"pron. 他\nn. 男孩, 男人, 雄性动物"
they,ðei,155,"pron. 他们, 它们"
on,ɒn,134,prep. 在...之上\nadv. ...上去\na. 正起作用的\n[计] 打开
was,wɒz,131,be的过去式
if,if,123,"conj. 如果, 是否, 无论何时, 假设, 即使\nn. 条件\n[计] DOS批处理命令:根据所测试的条件决定是否执行另一条命令"
their,ðєә,121,pron. 他们的
all,ɒ:l,118,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部"
so,sәu,113,"adv. 如此, 如是, 如...那样\nconj. 所以, 因此\npron. 这样"
man,mæn,113,"n. 男人, 人类, 人\nvt. 为...配备人手, 操纵, 使振奋\n[计] 城域网, 手册"
one,wʌn,111,"n. 一(个)\npron. 一, 任何人\nnum. 一, 一个\na. 一致的, 完整的"
we,wi:,111,pron. 我们
who,hu:,106,pron. 谁
would,wud,101,"aux. 将, 愿意"
than,ðæn,99,"conj. 比, 除...外\nprep. 比"
what,hwɒt,98,"pron. 什么\ninterj. 怎么, 多么\na. 什么的\nadv. 到什么程度"
our,'auә,93,pron. 我们的
more,mɒ:,93,"n. 更多\na. 多的, 程度较大的, 更大的\nadv. 多, 更多, 进一步\n[计] DOS外部命令:显示满屏后自动暂停, 并显示:""--More--"", 按任意键继续"
some,sʌm,93,"pron. 一些, 一部分, 若干\nadv. 大约\na. 一些的, 少许的, 某一的"
an,æn,87,art. 一
them,ðem,87,"pron. 他们, 她们, 它们"
do,du:,79,"v. 做, 进行, 完成"
you,ju:,79,"pron. 你, 你们"
there,ðєә,78,adv. 在那里
were,wә:,78,be的过去式
will,wil,77,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱\nvt. 用意志的力量驱使, 决意, 愿意, 立遗嘱\nvi. 下决心, 愿意\naux. 将, 愿意, 必须"
s,,76,
had,hæd,75,have的过去式和过去分词
life,laif,72,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑\n[医] 生活, 生存, 生命, 寿命"
no,nәu,69,"n. 不, 拒绝, 否决票\na. 没有, 不是, 绝非\nadv. 不"
may,mei,67,"n. 五月\naux. 愿能, 可以, 愿意"
me,mi:,67,pron. 我
when,hwen,66,"conj. 当...的时候\nadv. 何时, 什么时候\npron. 什么时侯\nn. 时间"
has,hæz,63,have的第三人称单数现在式
him,him,59,pron. 他
men,men,57,pl. man的复数
should,ʃud,57,"aux. 应该, 将要"
only,'әunli,56,"a. 唯一的, 仅有的, 最佳的\nadv. 只有, 仅仅, 只能\nconj. 但是, 不过"
most,mәust,52,"n. 最多, 最大\na. 大多数的, 几乎全部的, 最多的\nadv. 最, 最多, 极其"
house,haus,51,"n. 房子, 住宅, 机构, 议院, 家族, 家庭\nvt. 给...房子住, 收藏\nvi. 住, 躲藏"
such,sʌtʃ,51,"a. 如此的, 这样的"
