word,phonetic,count,translation
rainbow,'reinbәu,4,n. 彩虹\na. 五彩缤纷的
bait,beit,3,"n. 饵\nvt. 以饵引诱, 欺负\nvi. 中途休息"
baker,'beikә,3,n. 面包师\n[医] 烤箱(骨科用)
bog,bɒg,3,n. 沼泽\nvt. 使陷于泥沼\nvi. 陷于泥沼
bogging,'bɔ^iŋ,3,"陷入, 沉入"
broad-faced,,2,
cellini,'selini,2,赛里尼铬锰钢
halo,'heilәu,2,"n. 晕轮, 光圈, 晕状物, 荣光\nvt. 使有晕轮, 围以光环\nvi. 成晕轮"
musquash,'mʌskwɒʃ,2,"n. 麝香鼠, 麝香鼠皮"
rumble,'rʌmbl,2,"n. 隆隆声, 辘辘声\nvi. 发隆隆声, 辘辘响\nvt. 使隆隆响, 低沉地说"
shadows,,2,"n. 阴影, 影子（shadow复数）"
wading,'weidiŋ,2,a. 涉水的
a-kimbo,,1,
abutment,ә'bʌtmәnt,1,"n. 邻接, 接界, 桥台\n[医] 桥基, 基牙"
adjunct,'ædʒʌŋkt,1,"n. 附属物, 附件, 助手, 修饰语\na. 附属的"
afternoons,",ɑ:ftә'nu:nz",1,"adv. 每天下午, (在)任何下午"
altered,ˈɔ:ltəd,1,"a. [医]改变的\nv. 改变, 更改( alter的过去式和过去分词 )"
amounts,,1,"n. 数量, 总额（amount的复数）"
bass,bæs,1,"n. 低沉的声音, 男低音, 椴树\na. 低音的"
beech,bi:tʃ,1,n. 山毛榉\n[机] 山毛榉
beechnuts,'biːtʃnʌt,1,n. 山毛榉坚果
beef,bi:f,1,"n. 牛肉, 肌肉\nvt. 养(牛), 宰(牛)\nvi. 抱怨, 告发"
benvenuto,,1,
berry,'beri,1,n. 浆果\nvi. 采集浆果
bog-holes,,1,
bog-trotting,,1,
boggy,'bɒgi,1,a. 似沼泽的
brakes,,1,n. 刹车系统；制动；刹车（brake的复数）
brat,bræt,1,"n. 乳臭未干的小孩, 小孩\n[机] 不煤, 原煤"
bravely,'breivli,1,adv. 勇敢地
breathes,bri:ðz,1,v. 呼吸( breathe的第三人称单数 ); 轻声说话; 低语; 低声说
broader,brɔːdə,1,a. 广大的；一片的比较级
brooks,bruks,1,n. 布鲁克斯（姓氏）
bucket,'bʌkit,1,n. 桶\n[计] 存储桶; 桶
builded,'bildid,1,[古语] build的过去式和过去分词
butterflies,ˈbʌtəflaiz,1,n. 蝴蝶（ butterfly的名词复数 ）
buying,'baiiŋ,1,[经] 买气; 买进
castle,'kæsl. 'kɑ:sl,1,"n. 城堡, 象棋中的车\nvt. 置于城堡中, 盘踞于"
catching,'kætʃiŋ,1,"a. 易传染的, 有魅力的, 吸引人的"
cedar,'si:dә,1,"n. 雪松, 香椿\n[医] 香柏, 杉, 雪松"
celtis,,1," [医]朴属"
chose,tʃәuz,1,n. 动产\nchoose的过去式
completed,,1,a. 完整的；完全的
cone-headed,,1,
confinement,kәn'fainmәnt,1,"n. 限制, 被禁闭, 分娩\n[医] 分娩, 生产"
conspiracies,kənˈspirəsiz,1,"n. 阴谋, 密谋( conspiracy的名词复数 )"
consultation,.kɒnsәl'teiʃәn,1,"n. 请教, 咨询, 磋商会\n[医] 会诊"
country-,,1,
creator,,1,
crushes,krʌʃiz,1,"v. 压碎, 压坏( crush的第三人称单数 ); 破坏; 镇压; 榨"
crystal,'kristl,1,"n. 水晶, 水晶装饰品, 结晶\na. 水晶的, 水晶一样的, 透明的"
culinary,'kʌlinәri,1,"a. 厨房的, 烹调用的"
cynosure,'sinә.zjuә,1,"n. 小熊座, 北极星, 众目之的"
darting,dɑ:tɪŋ,1,"v. 投掷, 投射( dart的现在分词 ); 向前冲, 飞奔"
day-,,1,
dazzled,,1,a. 目眩的；眼花撩乱的
dazzling,'dæzliŋ,1,"a. 眼花缭乱的, 耀眼的"
debate,di'beit,1,"n. 辩论, 讨论\nv. 争论, 辩论"
declared,di'klєәd,1,"a. 公告的, 公然的"
demurred,dɪˈmɜ:d,1,"v. 表示异议, 反对( demur的过去式和过去分词 )"
departure,di'pɑ:tʃә,1,"n. 离开, 出发, 违背, 偏离\n[经] 启运"
derivative,di'rivәtiv,1,"a. 引出的, 派生的\nn. 引出之物, 派生物, 衍生字"
disadvantage-,,1,
distilled,dis'tild,1,a. 由蒸馏得来的；净化的
dogwood,'dɒgwud,1,n. 山茱萸科植物\n[医] 北美山茱萸
dolphin,'dɒlfin,1,n. 海豚
druids,ˈdru:idz,1,n. 德鲁伊教团员( Druid的复数形式 )
eke,i:k,1,"vt. 补充, 增加"
elect,i'lekt,1,"n. 当选人, 被选的人\na. 被选的, 选出的\nvt. 选举, 选择\nvi. 作选择"
employments,,1,"(employment 的复数) n. 雇用, 职业, 工作\n[经] 职业, 雇用, 职工招请"
errand,'erәnd,1,"n. 任务, 差使, 使命"
excitable,ik'saitәbl,1,"a. 能被激动的, 易兴奋的, 易怒的\n[医] 应激的, [可]兴奋的"
excluding,,1,"prep. 把...排除在外, 不包括..., 不计..."
failing,'feiliŋ,1,"n. 失败, 缺点\nprep. 如果没有...\na. 失败的"
faux,fәu,1,a. （法）假的；人造的
fishworms,,1,
flashes,,1,n. 光芒；披峰；闪光灯（flash的复数形式）
flee,fli:,1,"vt. 逃避, 逃跑, 逃走\nvi. 逃, 消失"
fleets,fli:ts,1,n. 舰队( fleet的名词复数 ); 车队; 捕鱼船队; （同一机构或统一调度的）机群
folds,,1,n. 皱褶；折痕（fold的复数形式）
forked,fɒ:kt,1,"a. 成叉的, 叉的, 叉状的\n[医] 叉状的"
forlorn,fә'lɒ:n,1,"a. 孤独的, 悲惨的, 凄凉的"
france,,1,
full-rigged,'fjl'ri^d,1,a. (帆桅等)装备完整的
fungi,"'fʌndʒai, 'fʌŋ^ai",1,"pl. 真菌, 突然发生而迅速生长的东西\n[医] 真菌, 霉菌, 蕈, 海绵肿"
gabardine,'gæbәdi:n,1,"n. 华达呢, 粗布"
gliding,'glaidiŋ,1,"a. 游动的, 滑顺的, 滑行的"
glistening,'^li:sniŋ,1,a. 白花花的；闪亮的；闪耀的
glows,ɡləuz,1,v. （无焰地）燃烧( glow的第三人称单数 ); 脸红; 尤指热的物体发出微弱而稳定的光; 喜形于色
grandmother,'grændmʌðә,1,"n. 祖母, 女祖先"
greasy,'gri:zi,1,"a. 油腻的, 含脂肪多的"
grooves,ɡru:vz,1,n. 沟( groove的名词复数 ); 槽; 老一套; （某种）音乐节奏\nv. 沟( groove的第三人称单数 ); 槽; 老一套; （某种）音乐节奏
gruel,'gru:әl,1,"n. 稀粥\nvt. 使极度疲劳, 惩罚"
guy,gai,1,"n. 家伙, 支索\nvt. 用支索撑住, 取笑, 嘲弄\nvi. 逃跑"
handkerchief,'hæŋkәtʃif,1,"n. 手帕, 头巾, 围巾"
hard-working,,1,(hard-work 的现在分词) 努力工作；[劳经] 繁重的工作
hardest,,1,a. 极难
hate,heit,1,"n. 憎恨, 恨, 厌恶\nvt. 憎恨, 憎恶\nvi. 仇恨"
haunt,hɒ:nt,1,"n. 常到的地方, 生息地\nvt. 常到, 出没于, 萦绕于\nvi. 出没, 作祟"
hearth-sides,,1,
heartiest,,1,热诚的（ hearty的最高级 ）
heaved,hi:vd,1,v. 举( heave的过去式和过去分词 ); 拉; 扔; 抛
hoary,'hɒ:ri,1,"a. 灰白的, 陈旧的\n[医] 灰发的, 白发的"
holly,'hɒli,1,n. 冬青树
hooked,hukt,1,"a. 钩状的, 有钩的, 用钩针编织的"
hopeful,'hәupful,1,"n. 有希望之人, 有前途之人\na. 有希望的, 怀抱希望的, 保持乐观的"
hoping,,1,v. 希望（hope的ing形式）
hornbeam,'hɒ:nbi:m,1,n. 鹅耳枥
host,hәust,1,"n. 主人, 旅馆老板, 节目主持人\nvt. 当主人招待, 作...节目主持人\n[计] 主机, 宿主机"
humanized,'hju:məˌnaɪzd,1,a. 人化的\nv. 赋予人性( humanize的过去式和过去分词 ); 使通人情; 变为有人性; 变为有情
