word,phonetic,count,translation
sensuality,",sensju'æliti",6,"n. 耽于声色, 淫荡, 好色"
hunting,'hʌntiŋ,4,"n. 狩猎, 猎狐, 探求\n[计] 寻找平衡; 寻找"
shame,ʃeim,4,"n. 羞耻, 羞愧, 耻辱\nvt. 使羞愧, 侮辱"
ill,il,3,"n. 疾病, 坏事, 罪恶, 灾难\na. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的\nadv. 有害地, 不幸地, 几乎不"
allied,ә'laid,2,"a. 联盟的, 联姻的, 联系起来的"
chaste,tʃeist,2,"a. 贞洁的, 纯洁的, 朴素的"
chastity,'tʃæstiti,2,"n. 纯洁, 贞操\n[法] 贞操, 纯洁"
cohabit,kәu'hæbit,2,vi. 同居\n[法] 同居
creature,'kri:tʃә,2,"n. 人, 动物, 创造物, 生物"
devotion,di'vәuʃәn,2,"n. 热爱, 投入"
distinguishes,disˈtiŋɡwiʃiz,2,"v. 辨别, 区别( distinguish的第三人称单数 ); 使出众; （凭任何感觉器官）识别出; 看清"
faintest,'feintist,2,"a. 一点也不的（用于否定句, 加强语气）；极小的"
feelings,,2,"n. 感情, 情绪, 心情, 情感"
fishers,,2,"(fisher 的复数) n. 渔夫, 食鱼动物, 渔船"
fowling,'fauliŋ,2,"n. 捕鸟, 打鸟"
function,'fʌŋkʃәn,2,"n. 官能, 职务, 功能, 函数\nvi. 活动, 运行, 行使职责\n[计] 功能, 函数"
inspires,inˈspaiəz,2,v. 鼓舞( inspire的第三人称单数 ); 激励; 赋予某人灵感; 启迪
larva,'lɑ:vә,2,"n. 幼虫\n[医] 幼虫(昆虫), 蚴(蠕虫)"
listens,ˈlisnz,2,v. 倾听( listen的第三人称单数 ); 留心听; 听信; （让对方注意）听着
ornithology,.ɒ:ni'θɒlәdʒi,2,n. 鸟类学
owed,,2,vbl. 感恩；亏欠；负债]
reptile,'reptail,2,"n. 爬行动物, 爬虫, 卑鄙的人\na. 爬行的, 爬虫类的, 卑鄙的"
savor,'seivә,2,"n. 滋味, 气味, 食欲\nvi. 有...的滋味\nvt. 加调味品于, 使有风味, 尝到"
sensual,'senʃuәl,2,"a. 肉欲的, 感觉的, 感觉论的"
uncleanness,,2,n. 不纯洁；不干净
ved,,2,abbr. vacuum erection device 真空负压勃起装置; vedova (Italian=widow) （意大利语）寡妇
abandonment,ә'bændәmәnt,1,"n. 放弃, 抛弃, 放纵\n[经] 委付, 废弃, 放弃(采矿权)"
abdomen,'æbdәmen,1,n. 腹部\n[医] 腹[部]
abdomens,ˈæbdəmənz,1,n. 腹（部）( abdomen的复数形式 )
ah,ɑ:,1,"interj. 啊, 哈"
alderman,'ɒ:ldәmәn,1,"n. 市政委员会委员, 高级市政官\n[法] 市议员, 市长助理, 地方官"
algonquins,,1,"阿尔冈昆人[部族], ； 阿尔贡金语( Algonquin的名词复数 )"
anxiously,'æŋʃәsli,1,"adv. 忧虑地, 不安地"
appetites,ˈæpitaits,1,"n. 欲望( appetite的复数形式 ); 胃口, 食欲"
apprehending,,1,v. 领会理解；逮捕（apprehend的现在分词）
approximation,ә.prɒksi'meiʃәn,1,"n. 接近, 近似值\n[医] 接近; 近似"
are-,,1,
ass,æs,1,"n. 驴, 傻瓜, 笨蛋, 屁股\n[计] 模拟仿真系统"
assert,ә'sә:t,1,"vt. 主张, 坚称, 断言\n[法] 宣称, 断言, 维护"
assessment,ә'sesmәnt,1,"n. 评估, 估定, 评定的款额\n[化] 评估"
assigned,,1,a. 已分配的；指定的
astounding,ә'staundiŋ,1,a. 令人惊骇的
attacked,,1,v. 攻击；侵害（attack的过去分词）
austerity,ɒ'sterәti,1,"n. 朴素, 苦行, 严格, 严峻"
avails,ә'veils,1,n. 利益；纯利润；出售资产收入（avail的复数形式）
awakens,əˈweɪkənz,1,v. （使）醒( awaken的第三人称单数 ); （使）觉醒; 弄醒; （使）意识到
beast,bi:st,1,"n. 畜生, 动物, 野兽, 兽性"
beastly,'bi:stli,1,"a. 野兽的, 残忍的, 令人厌憎的"
benefactor,'benifæktә,1,"n. 恩人, 捐助者, 施主\n[法] 捐赠人, 赠送人"
betraying,biˈtreiŋ,1,v. 对…不忠( betray的现在分词 ); 背叛; 出卖; 泄露
bless,bles,1,"vt. 祝福, 祈佑, 使神圣化"
blessed,'blesid,1,"a. 神圣的, 受祝福的\nbless的过去式和过去分词"
boundless,'baundlis,1,"a. 无限的, 无边无际的\n[经] 无限的"
boyhood,'bɒihud,1,n. 少年时代
brown-bread,,1,
calf,kɑ:f,1,"n. 小牛, 小牛皮, 腓肠\n[医] 腓肠"
carnivorous,kɑ:'nivәrәs,1,a. 食肉的\n[医] 食肉的
charming,'tʃɑ:miŋ,1,"a. 迷人的, 有吸引力的"
chaucer,'tʃɔ:sә,1,n. 乔叟（英国作家）
clarifying,,1,[医] 澄清的
cleaned,kli:nd,1,v. （使）清洁( clean的过去式和过去分词 ); 变干净; 除去…的灰尘; 使…干净
