word,phonetic,count,translation
dived,,4,"跳水, 潜水, 俯冲, 猛冲, 突然下降, 把手伸入, 钻研, 插进, 伸入, 投入, 探究"
fought,fɒ:t,4,fight的过去式和过去分词
rustling,'rʌsliθ,3,"n. 沙沙声, 瑟瑟声"
parent,'perәnt,3,"n. 父母, 父母亲, 根源\n[法] 父亲, 母亲, 根源"
combatants,kəm'bætnts,3,"n. 战斗员, 格斗者( combatant的复数形式 )"
combat,'kɒmbæt,3,"n. 争斗, 战斗\nvi. 战斗, 争斗\nvt. 与...战斗, 与...斗争"
peep,pi:p,3,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声\nvi. 窥视, 出现, 吱吱叫\nvt. 使隐约显现"
witnessed,ˈwitnist,3,v. 作证( witness的过去式和过去分词 ); 表示; （摆证据）…就是证据; 是…的迹象
bose,bәus,2,vt. [考古]用撞杆叩以听声
lunch,lʌntʃ,2,n. 午餐
resemble,ri'zembl,2,"vt. 相似, 类似"
victorious,vik'tɔ:riәs,2,"a. 胜利的, 得胜的, 战胜的"
widest,,2,a. 广阔的；宽的
carnage,'kɑ:nidʒ,2,"n. 大屠杀, 残杀"
meditation,.medi'teiʃәn,2,"n. 沉思, 冥想"
tumbler,'tʌmblә,2,"n. 平底玻璃杯, 一杯的容量, 杂技演员, 翻斤斗者\n[机] 滚光机, 滚筒, 齿轮换向器"
loons,,2,"(loon 的复数) n. 懒人, 潜鸟, 笨蛋"
sportsman,'spɒ:tsmәn,2,"n. 运动员, 冒险家"
speeding,'spi:diŋ,2,n. 超速行驶
excite,ik'sait,2,"vt. 刺激, 使兴奋, 激励"
swam,swæm,2,swim的过去式
warrior,'wɒ:riә,2,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
excited,ik'saitid,2,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
fiercely,'fiәsli,2,"adv. 猛烈地, 厉害地"
disperse,dis'pә:s,2,"vt. 分散, 传播, 散开\nvi. 分散\na. 分散的\n[计] 分散"
ferocity,fә'rɒsiti,2,"n. 凶猛, 残忍, 狂暴的行为"
adversary,'ædvәsәri,2,"n. 敌手, 对手\na. 敌手的, 敌对的"
struggled,,2,vbl. 奋斗；努力
feelers,ˈfi:ləz,2,"n. （昆虫的）触须, 对他人观点或反应的试探( feeler的复数形式 )"
spy-glasses,,2,
window-sill,'wɪndəʊs'ɪl,2,n. 窗台; 窗槛
ant,ænt,2,n. 蚂蚁
unearthly,.ʌn'ә:θli,2,"a. 非世间的, 神秘的, 怪异的"
severed,,2,a. 隔断的；切断的
eminent,'eminәnt,2,"a. 显赫的, 杰出的, 有名的"
cunningly,,2,"adv. 巧妙地, 狡猾地"
forming,'fɔ:miŋ,1,[电] 形成
ineffectually,ˌɪnɪ'fektʃʊəlɪ,1,"adv. 无效地, 无益地"
national,'næʃәnәl,1,"a. 国家的, 国立的, 全国性的, 民族的\n[经] 全国性的, 国家的, 国民的"
sylvius,,1,
pistoriensis,,1,
