word,phonetic,count,translation
thewater,,3,
trowel,'trauәl,3,"n. 泥铲, 泥刀\nvt. 用泥铲涂"
atthe,,3,
hall,hɒ:l,3,"n. 门厅, 走廊, 会堂"
stemsof,,2,
grains,^reinz,2,n. 双齿/多齿鱼叉\n[化] 糟; 酒糟
reign,rein,2,v. 为王，为君；当政；统治\nn. 为王，为君；当政；统治
likewise,'laikwaiz,2,"adv. 同样地, 也"
waterlogged,'wɒtәlɒgd,2,"a. 浸满水的, 涝的\n[法] 漏水或进水的, 进水的"
thefireplace,,2,
wasps,'wɒsps,2,n. 黄蜂( wasp的复数形式 ); 胡蜂; 易动怒的人; 刻毒的人
rake,reik,2,"n. 耙子, 钱耙, 斜度, 浪子\nv. 搜索, 掠过, (用耙子)耙, (使)倾斜"
containing,,2,n. 包含
iremember,,2,
sayings,,2,n. 语录（saying的复数）
bubble,'bʌbl,2,"n. 泡沫\nvi. 冒泡, 沸腾\nvt. 使冒泡, 滔滔不绝地说"
lathing,'læθiŋ,2,n. 板条
thesedays,,2,
eighths,eɪtθs,2,n. 第八( eighth的名词复数 ); 微醉; 第八; <音>八分音符
theforest,,2,
glowing,'glәuiŋ,2,"a. 白热的, 灼热的, 通红的, 鲜艳的\n[化] 辉光"
exterminated,ɪkˈstɜ:məˌneɪtid,2,"v. 消灭, 根绝( exterminate的过去式和过去分词 )"
harder,,2,a. 更难的；更努力的；更坚固的（hard的比较级）
myhouse,,2,
scented,'sentid,2,"a. 有香味的, 洒了香水的, 有嗅觉的"
warms,wɔ:mz,2,"v. （使）变暖, 被加热, 暖和起来( warm的第三人称单数 ); （使）变得更友好, 变得更可爱"
eighth,eitθ,2,"num. 第八, 八分之一"
cake,keik,2,"n. 蛋糕, 块, 饼\nvt. 使结块, 加块状物于\nvi. 结块"
chamber,'tʃeimbә,2,"n. 室, 房间, 枪膛\nvt. 装(弹药), 把...关在室内\na. 室内的"
stiff,stif,2,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的\nn. 死尸, 醉鬼, 钞票\nvt. 不肯付...小费"
grieved,,2,a. 伤心的
thousandcords,,1,
vinariam,,1,
receivedthe,,1,
poured,pɔ:d,1,"v. 涌出( pour的过去式和过去分词 ); 倾, 倒; 涌流; 倾泻"
mydwelling,,1,
bedded,'bedid,1,a. [地质]层状的
innovember,,1,
forestfence,,1,
scales,,1,n. 缩放；天平；鳞屑；磅秤
song,sɒŋ,1,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
jays,,1,"n. 鸟, 松鸡；橿鸟（jay的复数形式）"
crumpled,,1,"a. 弄皱了的, 被扭弯的, 弯曲的\n[建] 皱的, 起皱纹的, 盘曲的"
liable,'laiәbl,1,"a. 有义务的, 应负责的, 有...倾向的\n[法] 有责任的, 可受处理的, 应受罚的"
bows,,1,n. 饰片；弓形物（bow的复数形式）
anexpiatory,,1,
ilooked,,1,
forwarmth,,1,
whiter,,1,a. 白的；苍白的
examine,ig'zæmin,1,"v. 检查, 调查, 考试"
operated,,1,a. 操作的
hinder,'hindә,1,"a. 后面的\nv. 阻碍, 打扰"
asthe,,1,
31st,,1,
birchwithe,,1,
cellam,,1,
dragged,,1,v. 制动；拖动；打滑；松懈
sweetish,'swi:tiʃ,1,"a. 有点甜的, 过甜的"
proveitself,,1,
fullof,,1,
manycasks,,1,
andendeavored,,1,
thelittle,,1,
theprince,,1,
insideis,,1,
finearts,,1,
recovered,,1,v. 重新获得；恢复（recover的过去分词）
pulifies,,1,
recess,ri'ses,1,"n. 休息, 休会, 放假, 凹进处, 深处\nvt. 使凹进\nvi. 休假, 休息"
perhapsyou,,1,
buti,,1,
flattish,'flætiʃ,1,"a. 有点平的, 稍平的"
thebowels,,1,
haswell-nigh,,1,
thirstythe,,1,
thisimmense,,1,
oftensince,,1,
thatcool,,1,
vulcan,,1,n. [罗神]伏尔甘（火和锻冶的神）
proprietorsthemselves,,1,
hasty,'heisti,1,"a. 匆匆的, 轻率的, 性怠的"
severely,si'viәli,1,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
afterthe,,1,
hasa,,1,
ugly,'ʌgli,1,"a. 丑陋的, 邪恶的, 险恶的, 不祥的\nn. 丑陋的人(或物)"
robinhood,,1,
totem,'tәutәm,1,"n. 图腾, 标志物, 崇拜物"
mesopotamia,,1,
earthfour,,1,
smokystreamer,,1,
