word,phonetic,count,translation
wyman,,3,
lilac,'lailәk,3,"n. 丁香, 丁香花, 淡紫色\na. 淡紫色的"
gondibert,,3,
quoil,,3,
waterloo,,2,
stuck,stʌk,2,stick的过去式和过去分词
nut,nʌt,2,"n. 坚果, 核心, 螺帽\n[计] Novell NetWare服务器实用程序"
deserted,di'zә:tid,2,"a. 被遗弃的, 废弃的\n[法] 被遗弃的, 无人的, 放弃的"
dusky,'dʌski,2,"a. 微暗的, 暗淡的, 暗黑色的, 多黑影的, 黑黝黝的, 微黑色的, 忧郁的"
pottery,'pɒtәri,2,"n. 陶器, 陶器厂\n[化] 陶器"
dotted,'dɒtid,2,"a. 有点的, 星罗棋布的"
stratton,,2,
gardens,,2,n. 花园（garden的复数形式）
frog-pond,,2,
hospitable,'hɒspitәbl,2,"a. 好客的, 招待周到的"
await,ә'weit,2,vt. 等候\nvi. 等待着
survivor,sә'vaivә,2,"n. 生还者, 幸存者\n[法] 生还者, 生存者, 辛存者"
muttering,,2,[医] 嗫语
civil,'sivәl,2,"a. 市民的, 公民的, 有礼貌的\n[法] 公民的, 国民的, 民用的"
drifts,,2,n. 漂流物；分额；作业分额（drift的复数）
wheel,hwi:l,2,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物\nvt. 使旋转, 转动, 使转向\nvi. 旋转, 转弯, 盘旋"
tended,tendid,2,v. 照料( tend的过去式和过去分词 ); 照顾; 招待; 侍候
occupies,ˈɔkjupaiz,2,v. 占领( occupy的第三人称单数 ); 使用; 使从事; 任职
ingraham,,2," [人名] 英格拉哈姆; [地名] [美国] 英格勒厄姆"
breed,bri:d,2,"n. 种类, 品种\nv. 养育, 引起, 饲养, 繁殖"
lids,,2,abbr. 入侵检测系统（Linux Intrusion Detection System）
wanderer,'wɒndәrә,2,"n. 漫游者, 流浪者, 徘徊者"
practiced,'præktist,1,"a. 有经验的, 熟练的, 精通的"
cronched,,1,
courtyard,'kɒ:tjɑ:d,1,"n. 庭院, 天井"
spelt,spelt,1,spell的过去式和过去分词\n[医] 德国小麦
foreknowledge,'fɒ:nɒlidʒ,1,"n. 预知, 先见之明"
new-,,1,
nebulosa,,1,
pennisular,,1,
moaning,'məʊnɪŋ,1,"v. 呻吟, 悲叹( moan的现在分词 ); 抱怨; 发出萧萧声"
administrator,әd'ministreitә,1,"n. 管理人, 行政官\n[经] 遗产管理人员"
hi,hai,1,interj. 喂
new-england,,1,
launched,lɔ:ntʃt,1,v. 发射( launch的过去式和过去分词 ); [计算机]开始（应用程序）; 发动; 开展（活动、计划等）
sanest,,1,a. 心智健全的( sane的最高级 ); 神志正常的; 明智的; 稳健的
absorbing,әb'sɒ:biŋ,1,"a. 吸引人的, 非常有趣的\n[机] 吸收的"
concordiensis,,1,
styled,staild,1," [医]具花柱的"
sparks,spɑ:ks,1,n. （船或飞机上的）无线电通信师
mischief-,,1,
beggar-ticks,'be^әtiks,1,n. [植] (=beggar-lice)蝶型花科山蚂蝗属
interfered,ˌɪntəˈfiəd,1,v. 干预( interfere的过去式和过去分词 ); 调停; 妨碍; 干涉
slit,slit,1,"n. 裂缝, 投币口, 狭长裂口\nvt. 切开, 扯裂, 使有狭缝\nvi. 纵切, 纵裂"
image,'imidʒ,1,"n. 影像, 肖像, 想象, 图像, 形象, 翻版\nvt. 作...的像, 反映, 想象, 象征\nn. 图像\n[计] 图象"
half-obliterated,,1,
conflagrations,kɒnfləɡ'reɪʃnz,1,n. 大火（灾）( conflagration的复数形式 )
confessed,kәn'fest,1,"a. 公开的, 有定论的, 明白的, 众所周知的, 已认罪的, 自认的, 自称的\n[法] 坦白的, 认罪的, 自己承认的"
pot-,,1,
bracing,'breisiŋ,1,"a. 新鲜的, 凉爽的, 爽快的, 振奋精神的\nn. 联条, 支撑物, 支柱, 背带"
jostled,ˈdʒɔsəld,1,v. 挤( jostle的过去式和过去分词 ); 推; 撞; 争夺
napoleon,,1,
dents,'dents,1,"n. 花边边饰；压痕, 凹陷"
conclusions,kənk'lu:ʒnz,1,n. 结束( conclusion的复数形式 ); 结论; 推论; 签订
droop,dru:p,1,"vi. 下垂, 消沉\nvt. 使下垂\nn. 低垂, 消沉"
saluted,səˈlu:tid,1,"v. 欢迎, 致敬( salute的过去式和过去分词 ); 赞扬, 赞颂"
including,,1,"prep. 包含, 包括\n[经] 包括, 算入"
curled,,1,a. 鬈发的；卷曲的
strawberries,st'rɔ:brɪz,1,n. 草莓( strawberry的复数形式 )
blossoming,'blɑsəmɪŋ,1,v. （植物）开花( blossom的现在分词 ); 发展; 长成; 变得更加健康（或自信、成功）
fatally,'feitәli,1,"adv. 致命地, 不幸地, 宿命地"
called-,,1,
deep-,,1,
once-there,,1,
burying-ground,,1,
scipio,,1,
indirect,.indi'rekt,1,"a. 间接的, 非直截了当的, 不坦率的\n[医] 间接的"
before-,,1,
trophy,'trәufi,1,"n. 战利品, 奖品\nvt. 用战利品装饰"
floundering,ˈflaʊndərɪŋ,1,"v. （常指在水中）挣扎( flounder的现在分词 ); 挣扎, 漫无目标"
frock,frɒk,1,"n. 女礼服, 连衣裙, 工装, 罩袍, 僧衣"
freeborn,'fri:'bɒ:n,1,"a. 生而自由的, 自由民的, 适合于自由民的"
speaking-trumpets,,1,
zilpha,,1,
causing,,1,vt. 成为…的原因（cause的现在分词形式）
predict,pri'dikt,1,"v. 预知, 预言, 预报"
