word,phonetic,count,translation
boo-hoo,,4,
snow-crust,,4,
credit,'kredit,3,"n. 信用, 信任, 荣誉, 贷款, 学分\nvt. 归功于, 赞颂, 信任, 相信\n[计] 信用量"
hounding,,3,vt. 追猎（hound的现在分词形式）
paces,,3,n. 步调（pace的复数）
thump,θʌmp,3,"n. 重打, 重击声\nv. 重打, 撞击, 痛打"
brush,brʌʃ,2,"n. 刷子, 毛笔, 争吵\nvt. 刷\nvi. 擦过, 掠过\n[计] 电刷"
cobs,kɔbz,2,(显示器上由调频引起的)钟形失真
foxhound,'fɒkshaund,2,n. 猎狐狗
honking,hɔ:ŋkɪŋ,2,"v. （使）发出雁叫似的声音, 鸣（喇叭）, 按（喇叭）( honk的现在分词 )"
hunting-horn,,2,
icicles,'aɪsɪklz,2,n. 冰柱( icicle的复数形式 ); 树挂; 银笋
lepus,,2,
ludicrous,'lu:dikrәs,2,"a. 可笑的, 滑稽的, 荒唐的"
partridges,ˈpɑ:trɪdʒz,2,n. 山鹑( partridge的复数形式 )
pups,pʌps,2,n. 小狗；幼兽（pup复数）
pursuers,pəˈsju:əz,2,n. 追赶者( pursuer的复数形式 ); 追捕者; 追求者; 从事者
quick,kwik,2,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的\nadv. 快\nn. 新长出的肉, 要害, 核心, 感觉敏锐部位"
skated,skeitid,2,"v. 溜冰, 滑冰( skate的过去式和过去分词 )"
spectators,,2,n. 观众；旁观者（spectator复数）
swift,swift,2,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒\na. 迅速的, 快的, 敏捷的, 立刻的\nadv. 迅速地, 敏捷地"
warily,'wєәrili,2,"adv. 谨慎地, 留心地, 小心地"
weston,'westәn,2,n. [电]韦斯顿标准电池；韦斯顿（姓氏）
yelp,jelp,2,"n. 尖声急叫, 狺吠, 叫喊声\nvi. 尖声急叫, 叫吠, 叫喊\nvt. 叫喊着说"
0-1-4,,1,
0-2-3,,1,
1742-3,,1,
1743,,1,
18th,,1,
7th,,1,[网络] 七；第七；第七名
accented,ˈæksentɪd,1,a. 带…腔调的；带…口音的
actaeon,,1,
alarming,ә'lɑ:miŋ,1,"a. 使人惊恐的, 引起惊恐的"
amazement,ә'meizmәnt,1,"n. 惊愕, 惊异"
americanus,,1,
armful,'ɑ:mful,1,n. 一抱之量
asking,'ɑ:skiŋ,1,n. 请求
assenting,əˈsentɪŋ,1,"v. 同意, 赞成( assent的现在分词 )"
attempted,,1,a. 企图的；未遂的
baffin,'bæfin,1,n. 巴芬岛（加拿大东北部的一个海岛）
balanced,'bælәnst,1,"a. 公平的, 平衡的\n[计] 平衡的, 对称的, 均衡的"
bed-fellow,'bedfeləʊ,1,n. 伙伴；同床者（等于bedmate）
beset,bi'set,1,"vt. 围绕, 使苦恼, 镶嵌"
bigger,,1,a. 更大的（big的比较级）
bloods,,1,n. 血帮（blood复数）
borrow,'bɒrәu,1,"vt. 借, 借入, 借用\nvi. 借\n[计] 借位; 借位数"
bounce,bauns,1,"n. 跳, 跳跃, 弹力, 撞击\nvi. 反跳, 弹跳\nvt. 使跳回, 撞击\n[计] 打回"
bristling,,1,"a. (毛发)直立的, 发怒的"
buffalo,'bʌfәlәu,1,n. 水牛\n[机] 水牛
bugine-,,1,
burgoyne-,,1,
cabins,ˈkæbinz,1,n. <美>小木屋( cabin的名词复数 ); （飞机上的）驾驶舱; 客舱; （轮船上工作或生活的）隔间
careless,'kєәlis,1,"a. 粗心的, 不关心的, 无忧无虑的"
catt,,1,
chiding,tʃaɪdɪŋ,1,"v. 责骂, 责备( chide的现在分词 )"
chokes,tʃəuks,1,v. 填塞( choke的第三人称单数 ); （使）窒息; （尤指感情激动）而哽咽; 因紧张而失灵
circumspection,.sә:kәm'spekʃәn,1,"n. 细心, 慎重"
citadel,'sitәdәl,1,"n. 城堡, 避难处"
claws,klɔ:z,1,n. 爪( claw的名词复数 ); （有壳水生动物的）螯; 爪形夹具; （机械的）爪
commodore,'kɒmәdɒ:,1,"n. 海军准将, 船队队长\n[法] 船长, 舰队司令官"
concealment,kәn'si:lmәnt,1,"n. 隐匿, 隐蔽, 躲藏\n[经] 隐瞒, 匿报"
cow-boy,,1,
cr,,1,
cracking,'krækiŋ,1,"n. 裂解, 分解\na. 敏捷的, 很好的\nadv. 非常, 极其"
cruise,kru:z,1,"n. 巡航, 巡弋, 漫游\nv. 巡航, 巡弋, 漫游"
dainty,'deinti,1,a. 秀丽的；美味的；讲究的；挑剔的
dancing,'dænsiŋ,1,n. 舞蹈\n[建] 跳动的
deer,diә,1,n. 鹿
deerskins,,1,
demoniacally,di:mə'naɪəklɪ,1,adv. 魔鬼似地
densely,'densli,1,"adv. 浓密地, 浓厚地"
der,,1,abbr. 区分编码规则（Distinguished Encoding Rules）
diagonal,dai'ægәnl,1,"a. 对角线的, 斜的, 斜纹的\nn. 对角线, 斜线, 斜列"
diet-drink,,1,
discordant,dis'kɒ:dәnt,1,"a. 不调和的, 不和的"
discords,,1,n. 不和（discord的复数形式）
discriminating,dis'krimineitiŋ,1,"a. 区别性的, 有识别力的, 有差别的"
disgorge,dis'gɒ:dʒ,1,"vt. 吐出, 流注, 被迫交出\nvi. 呕吐"
disputed,,1,a. 有争议的
divert,dai'vә:t,1,"vt. 转移, 使欢娱\nvi. 转移"
dropsical,'drɔpsikәl,1,"a. 水肿的, 浮肿的\n[医] 水肿的"
dumb,dʌm,1,"a. 哑的, 不说话的, 无声音的\n[医] 哑的"
dusk,dʌsk,1,"n. 薄暮, 傍晚, 黄昏\na. 微暗的\nv. (使)微暗"
epaulet,'epәlet,1,"n. 肩章, 肩饰"
esquimaux,,1,n. 爱斯基摩人；爱斯基摩语（等于Eskimo） (Esquimau的变形)
exhibiting,iɡˈzibitɪŋ,1,"v. 陈列, 展览( exhibit的现在分词 ); 表现; 显示; [法律]当庭出示（证件、物证等）"
expose,ik'spәuz,1,"vt. 使暴露, 使曝光, 揭穿, 陈列\n[医] 暴露, 露置"
eyed,aid,1,a. 有眼的
farmhouse,'fɑ:mhaus,1,n. 农舍
feb,,1,abbr. 二月（February）
flatulency,ˊflætjulәnsi,1,n. 胃气胀;空虚;虚张
flooring,'flɒ:riŋ,1,"n. 地板, 地板材料, 铺地板"
frisk,frisk,1,"n. 乱跳, 欢闹, 活跃\nvi. 欢跃, 蹦跳\nvt. 轻摇"
froze,frәuz,1,freeze的过去式
gaunt,gɒ:nt,1,"a. 瘦削的, 憔悴的, 荒凉的"
giants,'dʒaiәnts,1,n. 巨人（giant的复数形式）；癸干忒斯；巨人族（希腊神话中常与天上诸神作战的种族）
girdled,'ɡɜ:dld,1,"a. 有环带的, 环绕的\nv. 围绕, 包围( girdle的过去式和过去分词 )"
girl-,,1,
gnawed,,1,a. 缺刻状的
grasp,græsp,1,"n. 把握, 抓紧, 理解, 抓, 柄, 控制\nvt. 抓住, 紧握, 领会\nvi. 抓"
gratuitous,grә'tju:itәs,1,"a. 免费的, 无理由的\n[经] 无代价的"
grey,grei,1,"n. 灰色\na. 灰色的, 阴沉的\nv. (使)成灰色"
half-naked,'hɑ:lfneɪkɪd,1,adj. 半裸的
hares,heəz,1,n. 野兔( hare的名词复数 )
harsh,hɑ:ʃ,1,"a. 粗糙的, 刺耳的, 严厉的\n[法] 粗糙的, 严厉的, 苛刻的"
hezekiah,,1,"n. 希西家（人名, 也指圣经中提到的希西家王）"
horizontal,.hɒri'zɒntәl,1,"n. 水平线, 水平面, 水平位置\na. 水平线的, 平坦的, 横的\nn. 水平\n[计] 水平"
horns,,1,n. 喇叭；号；角制品；警报器（horn的复数）
horse-hair,,1,
hudson,,1,
hudsonius,,1,
