word,phonetic,count,translation
lobe,lәub,5,"n. 叶, 耳垂, 裂片\n[医] 叶"
warmer,'wɒ:mә,4,"n. 进行加热的人, 取暖器\n[化] 热炼机"
foliage,'fәuliidʒ,4,"n. 树叶, 植物"
lobes,ləʊbz,3,n. 耳垂( lobe的复数形式 ); （器官的）叶; 肺叶; 脑叶
ribbon,'ribәn,3,"n. 缎带, 色带, 带状物\nvt. 用丝带装饰, 把...撕成条状\nvi. 形成带状\n[计] 带状条, 格式栏"
honeycombed,ˈhʌnikəʊmd,3,"a. 蜂窝结构的\nv. 蜂窝, 蜂巢( honeycomb的过去式和过去分词 )"
rills,,3,"(rill 的复数) n. 小河, 细流, 小溪\nvi. 潺潺流"
wiss,,3,abbr. 自动评分装备；工作站独立段存储体（Workstation Independent Segment Storage）；上海西华国际学校（Western International School of Shanghai）
shore-,,3,
bluebird,'blu:bә:d,2,n. 蓝色鸣鸟(北美产)
influx,'inflʌks,2,"n. 流入, 河口, 汇集\n[医] 注入, 流入"
tumbling,'tʌmbliŋ,2,"n. 摔跤, 翻筋斗\na. 斜的"
lurk,lә:k,2,"n. 潜伏, 潜行\nvi. 暗藏, 潜伏, 埋伏\n[计] 隐匿阅读"
greener,'gri:nә,2,n. 生手
foliaceous,.fәuli'eiʃәs,2,"a. 叶状的, 叶质的, 叶的\n[医] 叶状的"
avenger,ә'vendʒә,2,n. 复仇者
pulpy,'pʌlpi,2,"a. 果肉状的, 纸浆状的, 泥状的\n[医] 髓样的, 软的"
geologists,dʒɪˈɔlədʒɪsts,2,"n. 地质学家, 地质学者( geologist的复数形式 )"
hillsides,ˈhɪlˌsaɪdz,2,n. （小山的）山坡( hillside的复数形式 )
booming,'bu:miŋ,2,"a. 急速发展的\n[经] 暴涨的, 大受欢迎的"
moulds,'məʊldz,2,n. 铸模( mould的名词复数 ); 模型; 性格; 霉\nv. 用模子做( mould的第三人称单数 ); 对…影响重大; 将…塑造成; （使）紧贴于
obey,ә'bei,2,"vt. 服从, 遵从, 顺从\nvi. 服从"
6th,,2," 第六(sixth)"
red-wing,'redwɪŋ,2,n. 红翼鸫（欧洲产的）
che,,2,abbr. [医]胆碱酯酶（等于cholinesterase）；充电指示灯；化学（等于Chemical）
olit,,2,
dripping,'dripiŋ,2,"n. 滴, 滴下物, 水滴"
32,,2," thirty-two"
islet,'ailit,2,"n. 小岛\n[医] 岛, 小岛"
hummock,'hʌmәk,2,"n. 圆丘, 小丘, 山岗"
developing,di'velәpiŋ,2,a. 发展中的\n[计] 显影
precedes,ˌpriˈsi:dz,2,"v. 在…之前发生（或出现）, 先于( precede的第三人称单数 ); 走在…前面"
germs,,2,n. 致病菌；细菌；病菌（germ的复数形式）
1847,,2,
inert,i'nә:t,2,"a. 惰性的, 迟钝的, 无活力的, 呆滞的\n[医] 惰性的, 无作用的, 无效的"
disheartens,dɪsˈhɑ:tndz,1,"v. 沮丧的, 灰心的( disheartened的现在分词 )"
vocal,'vәukl,1,"a. 嗓音的, 声音的, 有声的, 歌唱的\nn. 元音, 声乐作品"
resembling,,1,肖
despised,disˈpaizd,1,"v. 鄙视, 看不起某人（某事）( despise的过去式和过去分词 )"
dismiss,dis'mis,1,"vt. 解散, 开除, 解职\nvi. 解散\n[计] 解散"
cupreous,'kju:priәs,1,"a. 铜的, 含铜的, 铜色的"
grating,'greitiŋ,1,"n. 光栅, 摩擦, 摩擦声\na. 令人气恼的, 刺耳的"
antique,æn'ti:k,1,"n. 古董, 古物\na. 古老的, 古风的, 旧式的, 过时的"
invective,in'vektiv,1,"n. 恶言漫骂, 臭骂\na. 漫骂的, 非难的, 恶言的"
sundered,ˈsʌndəd,1,"v. <文>隔开, 分开( sunder的过去式和过去分词 )"
threatening,'θretniŋ,1,"a. 胁迫的, 危险的\n[法] 威胁的, 恐吓的, 危险的"
whispering,'(h)wispәriŋ,1,"n. 低语, 私语, 耳语, 流言, 谣言, 沙沙声, 飒飒声\na. 传播流言蜚语的"
fineness,'fainnis,1,"[计] 扫描\n[经] 纯度, 成色"
pearly,'pә:li,1,"a. 珍珠似的, 产珍珠的, 用珍珠装饰的, 用珠母装饰的, 珍贵的"
warblings,,1,"(warbling 的复数) v. 鸟鸣, 用柔和的颤声唱( warble的现在分词 )"
