word,phonetic,count,translation
awake,ә'weik,7,"a. 醒着的\nvt. 唤醒, 唤起, 使意识到\nvi. 醒来, 被唤起, 意识到"
stream,stri:m,5,"n. 水流, 小河, 流出, 趋势, 人潮\nvt. 流出, 流动, 展开\nvi. 流, 涌, 飘扬\n[计] 流"
messenger,'mesindʒә,5,"n. 报信者, 使者\n[经] 使者, 送信者, 通信员"
sleepers,,4,n. 枕木；卧铺
seeds,,4,n. 种子；种子状物；子孙后代；[体]种子选手（seed的复数）
changed,,4,a. 变化的；改变的
sublime,sә'blaim,4,"a. 高尚的, 壮观的, 卓越的\nv. 提高, (使)变高尚, (使)纯化, (使)升华\nn. 庄严, 崇高, 顶点"
site,sait,3,"n. 位置, 场所, 地点\nvt. 给...择址"
count,kaunt,3,"vt. 计算, 视为\nvi. 计数\nn. 计算, 合计, 计数, 伯爵\n[计] 计数"
petty,'peti,3,"a. 琐碎的, 小规模的, 小气的, 委琐的\n[经] 小额的, 微小的, 小规模的"
river,'rivә,3,"n. 河, 江\n[法] 河流, 江河, 内河"
revealed,,3,v. 透露（reveal的过去式）；显示
spain,,2,
gossip,'gɒsip,2,"n. 闲聊, 随笔, 流言, 爱讲闲话的人\nvi. 说闲话, 闲聊"
corner,'kɒ:nә,2,"n. 角落, 转角, 窘境\nvt. 迫至一隅, 垄断, 使陷入绝境\nvi. 相交成角, 垄断\n[计] 边角"
mosquito,mә'ski:tәu,2,n. 蚊子\n[医] 蚊
awakened,əˈweɪkənd,2,v. （使）醒( awaken的过去式和过去分词 ); （使）觉醒; 弄醒; （使）意识到
places,,2,n. 地点；位置；[数]位数（place的复数）
enjoyed,ɪn'dʒɔɪd,2,v. 享有（ enjoy的过去式和过去分词 ）; 玩得快乐; 喜欢
skimmed,skimd,2,v. 撇去( skim的过去式和过去分词 ); 掠过; 轻轻擦过; 略读
killed,'kild,2,"a. 被杀死的, 被屠宰的, 镇静的"
perpetual,pә'petʃuәl,2,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的\n[经] 永远的, 终身的, 持续的"
airy,'єәri,2,"a. 空气的, 空中的, 通风的, 幻想的, 轻快的"
seated,,2,a. 就座的；固定的；根深蒂固的
carve,kɑ:v,2,"v. 雕刻, 切开"
valley,'væli,2,"n. 山谷, 溪谷, 流域, 凹地\n[医] 谷"
nightly,'naitli,2,"a. 每夜的, 夜间的\nadv. 每夜"
clout,klaut,2,"n. 敲击, 破布\nvt. 打补钉"
orchard,'ɒ:tʃәd,2,"n. 果园, 果树林"
shams,ʃæmz,2,"n. 假象( sham的名词复数 ); 假货; 虚假的行为（或感情、言语等）; 假装…的人\nv. 假装, 冒充( sham的第三人称单数 )"
bells,belz,2,n. 铃（bell的复数形式）；排钟；喇叭裤
pastures,ˈpɑ:stʃəz,2,n. 牧草地( pasture的名词复数 ); 生活状况; 工作条件
simplify,'simplifai,2,"vt. 单一化, 简单化"
shallow,'ʃælәu,2,"n. 水浅的地方, 浅滩\na. 浅的, 肤浅的\nv. (使)变浅"
parish,'pæriʃ,2,"n. 教区, 堂区\n[法] 救贫区, 教区"
landscape,'lændskeip,2,"n. 风景, 山水, 风景画\nvi. 从事景观美化\nvt. 美化...景观\n[计] 横向"
suddenly,'sʌdәnli,2,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
wake,weik,2,"vt. 叫醒, 激发\nvi. 醒来, 醒着, 觉醒, 活跃起来\nn. 守侯, 守夜, 尾迹, 痕迹"
vigor,'vigә,2,"n. 精力, 活力"
region,'ri:dʒәn,2,"n. 区域, 地带, 地区, 领域, 范围, 区\n[计] 区, 区域"
direction,di'rekʃәn,2,"n. 方向, 指导, 趋势\n[计] 方向; 流向"
newspapers,,2,"n. 报纸, 报章（newspaper的复数）"
cool,ku:l,2,"n. 凉爽, 凉爽的空气\na. 凉爽的, 冷淡的, 冷静的\nvi. 冷却, 平息\nvt. 使冷却, 使平静"
wherever,hwєәr'evә,2,adv. 无论哪里
establishment,i'stæbliʃmәnt,2,"n. 确立, 制定, 设施\n[经] 企业, 公司, 商店"
auroral,ɒ:'rɒ:rәl,2,"a. 曙光的, 玫瑰红的, 极光的"
meanness,'mi:nnis,2,n. 吝啬；卑鄙；劣等
boat,bәut,2,n. 船\nvi. 乘船\nvt. 以船运
takes,,2,"vt. 取走, 预备动作（take第三人称单数）"
please,pli:z,2,"adv. 请\nvt. 使高兴, 合...的心意, 取悦\nvi. 使人满意, 讨好, 愿意, 敬请"
realities,riˈælitiz,2,"n. 现实, 实际( reality的名词复数 ); 真实的事物"
bell,bel,2,"n. 铃, 钟\n[计] 响铃命令"
marrow,'mærәu,2,"n. 髓, 骨髓, 精华, 活力, 配偶\n[医] 髓(尤指骨髓)"
wife-,,2,
remote,ri'mәut,2,"a. 遥远的, 偏僻的, 疏远的, 微少的\n[计] 远程, 远程访问实用程序"
freshet,'freʃit,2,"n. 流入海中的淡水流, 洪水, 泛滥, 河水暴涨"
revolution,.revә'lu:ʃәn,2,"n. 革命, 大变革, 旋转, 转数, 循环\n[化] 回转"
khoung-tseu,,2,
lake,leik,2,"n. 湖, 池, 色淀\nv. (使)血球溶解"
invisible,in'vizәbl,2,"a. 看不见的, 无形的\n[经] 无形的, 表面上看不见的, 未列在公开帐目的"
millions,,2,n. 数百万
settle,'setl,2,"n. 有背长椅\nvt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算\nvi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
mountains,,2,n. 山脉；山区；山岳（mountain的复数）
dew,dju:,2,"n. 露珠, 露水\nvt. (用露水)沾湿\nvi. 结露水"
jail,dʒeil,2,"n. 监牢, 监狱, 拘留所\nvt. 监禁, 下狱"
hollowell,,2," [人名] [北方英格兰人、苏格兰人姓氏] 霍洛韦尔 Halliwell的变体"
german,,2,
mechanical,mi'kænikәl,2,"a. 机械的, 机械性的, 力学的\n[医] 机械的, 力学的"
greedily,'gri:dili,2,"adv. 贪食地, 贪婪地"
entertainments,entə'teɪnmənts,2,n. 娱乐( entertainment的复数形式 ); 殷勤; 款待; 娱乐物
half-hour,'hɑ:f'auә,2,"n. 半小时, 三十分钟\na. 半小时的, 三十分钟的"
refusal,ri'fju:zl,2,"n. 拒绝, 推却, 优先决定权\n[法] 拒绝, 谢绝, 取舍权"
shepherd,'ʃepәd,2,"n. 牧羊人, 牧羊犬, 牧师, 保护者\nvt. 看守, 领导, 指导, 牧羊"
slumbering,,2,"v. 微睡, 睡眠（slumber的现在分词形式）"
emit,i'mit,1,"vt. 发出, 放射, 发表(意见等), 散发, 发行\n[化] 放射"
brahme,,1,
confirm,kәn'fә:m,1,"vt. 证实, 确定, 批准, 使巩固\n[计] 确认"
statue,'stætju,1,vt. 以雕像装饰\nn. 雕像
wei,,1,n. 魏（姓氏）；魏（朝代）；渭河
tinkering,,1,[机] 铸补
court-house,'kɔ:th'aʊs,1,n. 法院大楼，县政府大楼
motive,'mәutiv,1,"n. 动机, 目的, 主题, 基调\na. 运动的, 成为动机的"
crystallization,'kristәlai'zeiʃәn,1,"n. 结晶, 定形, 明朗化, 具体化\n[化] 结晶"
caged,,1,a. 关在笼子里的
forge,fɒ:dʒ,1,"n. 熔炉, 铁工厂\nvt. 打制, 锻造, 伪造\nvi. 锻造, 伪造"
dreaming,,1,a. 有梦想的
deluded,dɪˈlu:did,1,"v. 欺骗, 哄骗( delude的过去式和过去分词 )"
ruin,ruin,1,"n. 毁灭, 推翻, 废墟\nvi. 毁灭, 衰败, 破坏, 破产, 堕落\nvt. 使毁灭, 毁坏, 使破产"
rings,,1,n. 吊环（ring的复数）
oaks,әuks,1,n. 橡树（oak的复数）
freshness,'freʃnis,1,"n. 新, 新鲜, 精神饱满"
serenade,'serineid,1,n. 小夜曲\nv. 唱小夜曲
happily,'hæpili,1,"adv. 幸福地, 快乐地, 幸好"
awakes,əˈweiks,1,v. 唤醒( awake的第三人称单数 ); 觉悟到; 使觉悟
cessation,se'seiʃәn,1,"n. 停止\n[法] 中止, 中断, 停止"
facts,,1,abbr. 设备管理控制与时间调度程序；Facilities Administration Control and Time Schedule
dear,'diә,1,"n. 亲爱的人\na. 亲爱的, 昂贵的, 严重的, 急迫的\ninterj. 啊\nadv. 深爱地, 高价地"
diminish,di'miniʃ,1,"v. (使)减少, (使)变小"
reacted,riˈæktid,1,v. 起反应( react的过去式和过去分词 ); 反对; （对食物等）有不良反应; 物质起化学反应
seasoning,'si:zniŋ,1,"n. 调味品, 作料, 佐料, 锻练\n[化] 天然时效"
whereon,hwєәr'ɒn,1,"adv. 在什么上面, 在那上面"
pleasures,,1,n. 愉快；乐事（pleasure的复数）
knock,nɒk,1,"n. 敲, 敲打, 敲门\nv. 敲击, 互撞, 攻击"
extremities,ɪks'tremɪtɪs,1,n. 端点( extremity的名词复数 ); 尽头; 手和足; 极窘迫的境地
basin,'beisn,1,"n. 盆, 盆地\n[医] 第三脑室, 骨盆"
communications,kәmju:ni'keiʃ(ә)nz,1,"n. 交通设施, 通讯系统"
rhyme,raim,1,"n. 韵, 押韵, 韵文\nvi. 押韵\nvt. 使押韵, 用韵诗表达"
unplastered,ʌn'plæstәd,1,a. 未抹灰泥的
battle,'bætl,1,n. 战役\nv. 战斗
paltry,'pɒ:ltri,1,"a. 不足取的, 琐碎的, 可鄙的"
glorify,'glɒ:rifai,1,"vt. 赞美, 美化, 赞扬, 使辉煌"
fight,fait,1,"n. 打架, 争吵, 斗志\nv. 对抗, 打架"
sedes,,1,[医] 粪
sermon,'sә:mәn,1,"n. 说教, 启示, 布道"
bearing,'bєәriŋ,1,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育\n[化] 轴承"
bathed,,1,"a. 淋漓的, 湿透的；沐浴的；沉溺的"
tarn,tɑ:n,1,"n. 冰斗湖, 山中小湖"
extensive,ik'stensiv,1,"a. 广的, 广泛的, 多方面的\n[经] 广大的, 扩大的"
visited,,1,"v. 拜访, 访问（visit的过去式）"
invitation,.invi'teiʃәn,1,"n. 邀请, 请柬, 引诱\n[经] 邀请, 招待, 吸引"
proportions-,,1,
lucid,'lu:sid,1,"a. 明晰的, 清澈的, 透明的, 透彻的\n[医] 清明的, 透明的, 清醒的"
one-with,,1,
ulysses,ju(:)'lisi:z,1,"n. 尤里西斯（希腊神话中男子名, 也是爱尔兰意识流文学作家詹姆斯·乔伊斯小说名）"
hoarse,hɒ:s,1,"a. 沙哑的, 嘶哑的\n[医] 声嘶的"
worshipper,,1,"n. 礼拜者, 崇拜者, 爱慕者"
uncertain,.ʌn'sә:tn,1,"a. 不确定的, 无常的, 不确信的, 不可预测的\n[法] 不确定的, 未定的, 不确信的"
breakfast,'brekfәst,1,n. 早餐
roost,ru:st,1,"n. 栖木, 休息所, 群栖的禽鸟\nvi. 栖息, 安歇\nvt. 使栖息"
glimpse,glimps,1,"n. 一瞥, 一闪\nvi. 投以一瞥, 闪烁不定\nvt. 瞥见"
greeks,,1,
front,frʌnt,1,"n. 前面, 开头, 前线, 阵线, 态度\nvt. 面对, 朝向, 对抗\nvi. 朝向"
coffee,'kɒfi,1,"n. 咖啡, 咖啡色\n[医] 咖啡, 咖啡豆"
rabbits,,1,n. 兔子；穴兔（rabbit的复数）
house-dog,,1,看门狗
garden-,,1,
nerves,,1,"n. 神经质, 神经紧张"
