word,phonetic,count,translation
language,'læŋgwidʒ,12,"n. 语言, 文字, 措辞\n[计] 语言"
written,'ritn,12,"a. 书面的, 写成文字的\nwrite的过去分词"
classics,,7,n. 古希腊、古罗马文学（classic的复数）
tongue,tʌŋ,5,"n. 舌, 语言能力, 讲话方式, 语言\nvt. 舔, 斥责, 发...的音\nvi. 使用舌头, 吹管乐器"
library,'laibrәri,4,"n. 图书馆, 藏书, 库\n[计] 库"
illiterate,i'litәrәt,3,"n. 文盲\na. 目不识丁的, 没受教育的"
nineteenth,.nain'ti:nθ,3,"num. 第十九, 十九分之一"
nobleman,'nәublmәn,3,n. 贵族
orator,'ɒ:rәtә,3,"n. 演说者, 演讲者, 雄辩家, 原告, 请愿人\n[法] 请愿人, 原告, 雄辩者"
printed,'printid,3,"a. 印刷的, 印好的, 印花样的\n[电] 印刷的"
schools,,3,n. 学校（school的复数形式）
aeschylus,,2,
ailment,'eilmәnt,2,"n. 病痛, 疾病\n[医] 疾病"
aspire,ә'spaiә,2,"vi. 渴望, 立志于"
circulating,.sә:kju'leitiŋ,2,"a. 循环的, 流通的\n[经] 流动"
classic,'klæsik,2,"n. 古典作品, 杰作, 大艺术家\na. 第一流的, 最优秀的, 古典的"
college-bred,,2,a. 受过大学教育的
eloquence,'elәkwәns,2,"n. 口才, 雄辩术, 雄辩\n[法] 善辩, 口才"
europe,,2,
finish,'finiʃ,2,"n. 完成, 结束, 末道漆, 磨光, 完美\nvt. 完成, 结束, 用完, 毁掉\nvi. 结束\n[计] 完成"
forum,'fɒ:rәm,2,"n. 论坛, 公开讨论的广场, 法庭, 讨论会\n[法] 讨论会, 专题讨论, 公共论坛"
further,'fә:ðә,2,"a. 更远的, 此外的, 更多的\nvt. 促进, 增进, 助长\nadv. 更进一步地, 更远地, 此外"
illiterateness,,2,"n. 文盲, 无知"
languages,,2,"n. 语系, 语种；语言文字（language复数）"
lyceum,lai'siәm,2,"n. 讲演厅, 学会"
machines,,2,n. 机器；机械（machine的复数）
mastered,,2,a. 精通的
noblest,'nəublist,2,a. 高贵的（noble的最高级）；华丽的
novelist,'nɒvәlist,2,n. 小说家
oldest,'әuldist,2,a. 最旧的；最老的（old的最高级）
plato,,2,
provincial,prә'vinʃәl,2,"n. 外地人, 粗野的人\na. 省的, 外地的, 偏狭的"
relics,,2,n. 遗迹；遗骸；纪念物（relic的复数）
