word,phonetic,count,translation
owl,aul,5,n. 猫头鹰\n[法] 走私
restless,'restlis,4,"a. 不安静的, 慌张的, 休息不充分的\n[医] 不安静的, 不宁的"
yard,jɑ:d,4,"n. 码, 庭院, 工场\n[化] 堆置场"
spirits,,4,"n. 情绪, 兴致, 心情, 烈酒, 酒精"
hoo,hu:,4,"int. 呼！（表示高兴, 轻蔑, 赞同, 激动等）"
clearing,'kliәriŋ,4,"n. 清扫, 空地, 票据清算\n[经] 票据交换, 结算, 结帐"
tr-r-r-oonk,,3,
bor-r-r-r-n,,3,
stopping,'stɔpiŋ,3,"n. 停止, 制动, 中止, 制止, 堵塞, 阻塞, 填充物, 填塞料, 风幛, 隔墙, 风墙\n[计] 停机的"
hooting,,3,v. 喊叫；鸣响；摄制（hoot的ing形式）
dismal,'dizmәl,3,"a. 阴沉的, 凄凉的, 令人忧郁的\nn. 低落的情绪, 沼泽"
weight,weit,3,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量\nvt. 加重量于, 压迫, 使加权, 称重量\n[计] 粗细"
prime,praim,2,"n. 最佳部分, 初期, 全盛期\na. 主要的, 最初的, 根本的\nv. 加油启动, 灌注, 填装"
vocation,vәu'keiʃәn,2,"n. 职业, 天命, 天职, 才能, 行业\n[法] 行业, 职业, 职业上的才能"
snort,snɒ:t,2,"vi. 喷着气弄响鼻子, 轻蔑地哼, 嘶嘶响着排气\nvt. 哼着鼻子说, 喷出, 吸入(毒品)\nn. 喷鼻息, (潜艇的)水下通气管"
sumachs,,2,
wrought,rɒ:t,2,"a. 制成的, 精细的\nwork的过去式和过去分词"
scream,skri:m,2,"n. 尖叫声\nvi. 尖叫, 大笑, 尖啸, 令人震惊\nvt. 尖叫着说, 大叫大嚷着要求"
strawberry,'strɒ:bәri,2,n. 草莓
owls,aulz,2,n. 猫头鹰( owl的复数形式 )
life-everlasting,,2,
tails,,2,"n. (非正式)燕尾服, 男子夜礼服, 钱币背面, 硬币的背面\n[化] (复)尾矿; 尾砂"
vale,veil,2,"n. 谷, 溪谷, 告别\ninterj. 再见"
masses,,2,"n. 民众, 劳动阶层"
midnight,'midnait,2,"n. 午夜, 子夜, 半夜\na. 午夜的, 半夜的"
crow,krәu,2,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍\nvi. 啼叫, 报晓"
warned,,2,a. 已警告的
wreaths,ri:ðz,2,n. 花环( wreath的名词复数 ); 花圈; （烟、云等的）圈状物; 环状物
pastoral,'pæstәrәl,2,"n. 牧歌, 田园诗\na. 牧人的, 田园生活的, 牧师的, 田园式的"
hawks,,2,n. 霍克斯（人名）；亚特兰大老鹰队（NBA球队名）
steam,sti:m,2,"n. 蒸汽, 精力\na. 蒸汽的\nvi. 蒸发, 行驶, 发怒\nvt. 蒸, 煮, 散发"
meditations,ˌmedɪˈteɪʃənz,2,n. 默想( meditation的复数形式 ); 默念; 沉思; 冥想
bright,brait,2,"a. 明亮的, 聪明的, 鲜明的, 欢快的\nadv. 明亮地, 欢快地"
split,split,2,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条\na. 劈开的\nvi. 分离, 分开, 裂开, 被劈开\nvt. 劈开, 切开, 使分裂, 使分离\n[计] 拆分"
sighs,,2,n. 叹息；手势；标记（sigh的复数）
spanish,,2,
arrivals,,2,"n. 进站, 进港；到达（arrival的复数形式）"
swamp,swɒmp,2,"n. 沼泽, 进退两难的困境\nvt. 淹没, 击溃, 清除, 使陷于沼泽\nvi. 陷于沼泽, 淹没"
discipline,'disiplin,2,"n. 训练, 纪律\nvt. 训练, 惩罚"
scent,sent,2,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉\nvt. 闻出, 嗅, 发觉, 使充满气味\nvi. 嗅猎, 发出气味"
slumber,'slʌmbә,2,"n. 睡眠, 麻木状态\nvi. 微睡, 静止, 麻木\nvt. 睡着度过(时间)"
cuttingsville,,2,
torn,tɒ:n,2,tear的过去分词
vines,,2,
cockerels,,2,"n. 小公鸡, 好斗的年轻人( cockerel的复数形式 )"
spruce,spru:s,2,"n. 云杉\na. 颇为干净的, 俏的, 整洁的\nv. (使)显干净, 打扮整齐"
drovers,,2,"(drover 的复数) n. 把家畜赶到市集的人, 家畜贩子"
calm,kɑ:m,2,"n. 平稳, 风平浪静\na. 平静的, 冷静的\nvi. 平静下来, 镇静\nvt. 使平静"
partridge,'pɑ:tridʒ,2,"n. 鹧鸪, 山鹑"
quarters,,2,"n. 寓所, 营房, 住处"
winged,wiŋd,2,"a. 有翼的, 高速的, 迅速的, 飞行的, 翼受伤的"
flowers,,2,[医] 花; 升华制成的药物; 月经
melody,'melәdi,2,"n. 曲子, 美妙音乐, 曲调"
