word,phonetic,count,translation
lonely,'lәunli,6,"a. 孤单的, 孤寂的, 荒凉的"
daughter,'dɒ:tә,3,n. 女儿\na. 女儿的
abandoned,ә'bændәnd,2,"a. 被抛弃的, 无约束的, 恣意放荡的"
bunch,bʌntʃ,2,"n. 串, 束\n[医] 骨肿块(马)"
continually,kәn'tinjuәli,2,"adv. 不断地, 频繁地"
dame,deim,2,n. 夫人
doubleness,dʌbl'nes,2,"n. 二倍, 双重"
dropped,drɔpt,2,a. 抛踢球得分的
groove,gru:v,2,"n. 凹槽, 惯例, 理想境况\nvt. 开槽于"
pipe,paip,2,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器\nvt. 以管输送, 吹哨子, 吹奏, 尖声唱\nvi. 吹笛, 尖叫, 吹长哨发令\n[计] 管道"
presence,'prezns,2,"n. 出席, 面前, 存在, 仪态, 风度\n[电] 出现"
repose,ri'pәuz,2,"n. 休息, 睡眠, 静止\nvt. 使休息, 寄托于\nvi. 休息, 长眠, 静卧, 座落, 依靠, 信赖"
serpent,'sә:pәnt,2,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人"
spectator,spek'teitә,2,"n. 观众, 目击者, 旁观者"
struck,strʌk,2,a. 受罢工影响的\nstrike的过去式和过去分词
subtile,'sʌtl,2,"a. <古>隐约的,微妙的,敏锐的, 狡猾的"
visitors,,2,"n. 访问者, 游客（visitor 复数）"
waters,'wɔ:tәz,2,"n. 大片的水, 领海, 近海, 海域, 江水, 湖水, 河水, 矿泉水\n[医] 羊水(俗名)"
waves,weivz,2,n. 波（wave的复数形式）
willow,'wilәu,2,"n. 柳树, 柳木制品\na. 柳树的, 柳木制的"
workman,'wә:kmәn,2,"n. 工人, 工匠, 男工"
accidentally,.æksi'dentli,1,"adv. 偶然地, 意外地"
acheron,,1,
aeolian,i:'әjliәn,1,"a. 风的, 风蚀的, 风神埃俄罗斯的, 伊奥利亚人的"
africa,,1,
alder,'ɒ:ldә,1,n. 桤木\n[机] 赤杨木
alone-,,1,
aloof,ә'lu:f,1,"a. 远离的, 冷淡的\nadv. 远离, 冷漠超然地"
angels,'eindʒәls,1,n. 天使投资人；天使（angel的复数形式）
animated,'ænimeitid,1,"a. 活生生的, 能活动的, 活泼的, 欢快的"
apart,ә'pɑ:t,1,"adv. 成零碎, 成距离, 分别地, 分离着\na. 分离的"
appropriated,,1,[经] 拨款
asia,,1,
