word,phonetic,count,translation
arrived,a'raivd,3,v. 抵达；抵港（arrive的过去式）\na. 已到达的
contentment,kәn'tentmәnt,3,"n. 满足, 使人满意的事物, 满意"
big,big,3,"a. 大的, 重要的\nadv. 大量地"
tired,taiәd,3,"a. 疲累的, 疲乏的, 厌倦的"
thewoods,,3,
hehad,,2,
lodging,'lɒdʒiŋ,2,"n. 寄宿处, 寄宿\n[法] 提起, 住所"
wouldsometimes,,2,
chickens,ˈtʃikinz,2,n. 鸡( chicken的复数形式 ); 鸡肉
safest,,2,a. 安全的（safe的最高级）
needs,ni:dz,2,adv. （只与must连用）必须地
greet,gri:t,2,"vt. 问候, 致敬, 欢迎, 映入眼帘"
anyimprovement,,2,
george,dʒɔ:dʒ,2,n. 乔治（男子名）；自动操纵装置；英国最高勋爵勋章上的圣乔治诛龙图
expect,iks'pekt,2,"vt. 预期, 盼望, 期待"
englishmen,,2,n. 英国人（Englishman的复数）
drank,dræŋk,2,drink的过去式
winslow,'winzlәj,2,n. 温斯洛（男子名）
pauper,'pɒ:pә,2,"n. 贫民, 靠救济度日者, 穷人, 乞丐\n[法] 贫民, 穷人"
ideas,,2,abbr. 工业设计优秀奖
conceive,kәn'si:v,2,"vt. 构思, 认为\nvi. 怀孕"
housekeepers,ˈhaʊsˌki:pəz,2,n. （女）管家( housekeeper的复数形式 )
patroclus,,2,
entertained,ˌentəˈteind,2,"v. 款待, 招待( entertain的过去式和过去分词 ); 使欢乐; 使娱乐; 抱有"
inthe,,2,
welcome,'welkәm,2,"n. 欢迎, 欢迎词\na. 受欢迎的, 可随意的, 可喜的\nvt. 欢迎, 接待\ninterj. 欢迎"
hearing,'hiәriŋ,2,"n. 听, 听觉, 听讯\n[医] 听, 听觉"
massasoit,,2,
looke,,1,
thathas,,1,
wasconcerned,,1,
canbe,,1,
occurs,,1,v. 重现（occur的第三人称单数）
youcrawl,,1,
consciousness,'kɒnʃәsnis,1,"n. 意识, 知觉, 自觉\n[医] (有)意识, 清醒"
phthia,,1,
asindeed,,1,
phenomenon,fi'nɒminәn,1,"n. 现象, 迹象, 表现, 奇迹, 奇才\n[化] 现象"
boundaries,'baʊndri,1,n. 分界线( boundary的名词复数 ); 范围; 使球越过边界线的击球（得加分）; 疆界
theywere,,1,
ignorant,'ignәrәnt,1,"a. 无知识的, 不知道的, 由无知产生的\n[法] 无知的, 愚昧的, 不知情的"
tounfold,,1,
intears,,1,
sluggish,'slʌgiʃ,1,"a. 偷懒的, 懒惰的, 迟钝的\n[经] 萧条的, 呆滞的"
alight,ә'lait,1,"vi. 落下, 偶然发现\na. 点着的"
concernedhim,,1,
tohelp,,1,
uneasy,.ʌn'i:zi,1,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
theyhad,,1,
theydrew,,1,
dingy,'diŋdʒi,1,"a. 暗淡的, 昏暗的, 邋遢的"
thinkthat,,1,
nearto,,1,
twenty-eightyears,,1,
tickled,ˈtikld,1,"v. （使）发痒( tickle的过去式和过去分词 ); （使）愉快, 逗乐"
helpedto,,1,
weak-headed,'wi:k'hedid,1,"a. 易醉的, 优柔寡断的"
obvious,'ɒbviәs,1,"a. 明显的, 明白的, 显然的, 平淡无奇的"
economized,ɪˈkɔnəˌmaɪzd,1,"v. 节省, 减少开支( economize的过去式和过去分词 )"
comea-berrying,,1,
coupleof,,1,
achild,,1,
likethe,,1,
prudentman,,1,
ifeared,,1,
post-maker,,1,
gorry,'^ɔri,1,int. [用于发誓或惊叹]上帝作证!天呀! 啊呀!
poorly,'puәli,1,"adv. 贫穷地, 不充分地, 贫乏地\na. 身体不舒服的"
a-baying,,1,
supposethat,,1,
fifty,'fifti,1,"num. 五十, 五十个"
ashes,,1,n. 骨灰\n[机] 灰
lit,lit,1,light的过去式和过去分词
parishhandsomely,,1,
betterthan,,1,
hewill,,1,
theircellars,,1,
out-,ajt,1,"表示“向外, 出外”"
bedetected,,1,
webegan,,1,
meon,,1,
sorryi,,1,
rub,rʌb,1,"n. 摩擦, 困难, 障碍, 磨损处\nvt. 擦, 搓, 摩擦, 惹怒\nvi. 摩擦, 擦破"
full-bloodedman,,1,
behindmy,,1,
thecatholic,,1,
performances,pə'fɔ:mənsɪz,1,n. 履行( performance的复数形式 ); 性能; 表现; 演出
soaked,,1,a. 湿透的
allday,,1,
manoeuvring,mә'nu:vәriŋ,1,"[军]调遣, 部署, 操纵"
hiswords,,1,
bearer,'bєәrә,1,"n. 带信人, 票据持有人, 搬运者\n[经] 持票人, 持有人, 不(无)记名"
iwas,,1,(iwa 的复数) abbr. in-well aeration 通风良好; International Woodworkers of America 美国国际木工工会; Insurance Workers of America 美国保险业工作者组织; International Wheat Agreement 国际小麦协议
hadnot,,1,
hesitated,'hezɪteɪtɪd,1,v. 犹豫( hesitate的过去式和过去分词 ); 吞吞吐吐; 顾虑; 停顿
thewhole,,1,
dead-and-alive,,1,"a. 没精打彩的, 单调的"
ball,bɒ:l,1,"n. 球, 舞会, 球状物\nv. 捏成球形"
properfrench,,1,
hen,hen,1,"n. 母鸡, 雌禽"
hisdog,,1,
offence,ә'fens,1,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击\n[法] 犯法, 罪过, 过错"
yearsand,,1,
introduceda,,1,
yourhospitality,,1,
andgrander,,1,
itsground,,1,
andcontentment,,1,
demigods,,1,"(demigod 的复数) n. 半神半人, 小神, 受崇拜的人"
getneedles,,1,
wits,,1,"n. 机智, 智慧"
wecannot,,1,
forsaken,fә'seikәn,1,"a. 被抛弃的, 孤独的\nforsake的过去分词"
coldmeats,,1,
reverenced,ˈrevərənst,1,"v. 尊敬, 崇敬( reverence的过去式和过去分词 ); 敬礼"
with-,"wið,wiθ",1,"表示“离开, 相对”之义"
overcomeits,,1,
talked,tɔːkt,1,"n. 讲话, 交谈 talk的过去式\nv. 说( talk的过去式和过去分词 ); 讨论; 说话; （用以强调款额、情况严重程度等）讲的是"
considerable,kәn'sidәrәbl,1,"a. 相当的, 可观的, 重要的"
origin,'ɒridʒin,1,"n. 起源, 起因, 出身, 开端\n[计] 原点; 起始地址; 信件来源的相关数据"
danger-,,1,
cheering,'tʃiәriŋ,1,"n. 欢呼, 喝彩\na. 令人振奋的, 令人高兴的"
outagain,,1,
diningme,,1,
barkunder,,1,
himhomer,,1,
peeling,'pi:liŋ,1,"n. 剥皮, 剥下的皮\n[医] 去皮, 脱屑"
ratherinferior,,1,
outover,,1,
thelord,,1,
hospitality,.hɒspi'tæliti,1,"n. 款待, 亲切, 殷勤"
sdew-,,1,
talkers,ˈtɔ:kəz,1,"n. 讲话者, 谈话者( talker的复数形式 )"
roundabout,'raundә.baut,1,"a. 迂回的, 委婉的\nn. 迂回路线"
poeticconsciousness,,1,
ceremony,'serimәni,1,"n. 典礼, 仪式, 礼节\n[法] 典礼, 仪式"
neverheard,,1,
amountedto,,1,
expressed,iksˈprest,1,v. 表达( express的过去式和过去分词 ); （用符号等）表示; 榨; [express oneself]（如在说话、写作或绘画中）表达（自己）的意见
self-styled,'self'staild,1,"a. 自称的, 自任的"
utter,'ʌtә,1,"a. 全然的, 绝对的, 完全的\nvt. 发出声音, 做声, 发表, 发射, 流通"
priceless,'praislis,1,"a. 无价的, 极贵重的"
couldget,,1,
chicken,'tʃikin,1,"n. 小鸡, 鸡肉"
dr,,1,
tofasten,,1,
orwatching,,1,
inscribed,in'skraibd,1,a. 内切的；记名的；有铭刻的
tohave,,1,
iwrote,,1,
handwriting,'hændraitiŋ,1,n. 笔迹
runawayslaves,,1,
utmost,'ʌtmәust,1,"n. 极限, 最大限度, 极度\na. 极度的, 最远的"
ridiculous,ri'dikjulәs,1,"a. 荒谬的, 可笑的"
itbeing,,1,
hadstrength,,1,
gosh,gɒʃ,1,"interj. 唉, 天啊, 天哪"
salutes,səˈlu:ts,1,"n. 致敬, 欢迎, 敬礼( salute的名词复数 )\nv. 欢迎, 致敬( salute的第三人称单数 ); 赞扬, 赞颂"
propped,prɔpt,1,"v. 支撑, 支持, 维持( prop的过去式和过去分词 )"
thatanything,,1,
wasnever,,1,
fora,'fɔ:rә,1,"pl. 论坛, 讨论会, 座谈会, 广播专题讲话节目, 电视专题讲话节目, 法庭"
yearsbefore,,1,
skilful,'skilful,1,"a. 灵巧的, 熟练的, 制作精巧的"
theso-called,,1,
appealwith,,1,
timid,'timid,1,"a. 胆小的, 羞怯的"
summons,'sʌmәnz,1,"n. 召唤, 传唤, 召集, 传票\nvt. 传唤, 唤出, 传到"
anddecay,,1,
polite,pә'lait,1,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
substitute,'sʌbstitju:t,1,"n. 代理, 代理人, 代用品, 代替者, 代替物\nvt. 代替\nvi. 替代, 取代, 代用\na. 代替的, 代用的, 代用品的\n[计] 置换; 替代"
unexplored,'ʌniks'plɔ:d,1,a. 未勘查过的
himonce,,1,
killhim,,1,
heruns,,1,
merelythe,,1,
overseers,ˈəʊvəˌsi:əz,1,"n. 监工, 监督者( overseer的复数形式 )"
sprouts,spraʊts,1,"n. 新芽, 嫩枝( sprout的名词复数 )\nv. 发芽( sprout的第三人称单数 ); 抽芽; 出现; （使）涌现出"
againsthospitality,,1,
bedwith,,1,
tin,tin,1,"n. 锡, 马口铁, 罐头\nvt. 在...镀锡于\na. 锡制的\n[计] tin阅读程序"
adrink,,1,
thinkand,,1,
thelowest,,1,
bear-we,,1,
themat,,1,
hiseyes,,1,
nevereducated,,1,
theintercourse,,1,
yourthoughts,,1,
whichdangled,,1,
gorrappit,,1,
daywith,,1,
specimens,ˈspesimənz,1,n. 样品( specimen的复数形式 ); 范例; （化验的）抽样; 某种类型的人
monopolyof,,1,
forcompany,,1,
hen-harriers,,1,
hurt,hә:t,1,"n. 伤害, 创伤, 损害\nv. 伤害, (使)伤心, 危害, 刺痛"
theirtrack,,1,
light-headed,,1,"a. 头晕的, 轻浮的"
mylife,,1,
himto,,1,
girl,gә:l,1,"n. 女孩, 少女, 女佣"
actuallystarving,,1,
bug,bʌg,1,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人\nvt. 装防盗报警器, 装窃听器, 激怒\nvi. 捉虫, 暴突\n[计] 缺点, 错误"
soonagain,,1,
ricochet,.rikә'ʃei,1,"n. 跳飞, 跳弹\nv. (使)跳飞"
heboarded,,1,
writtenletters,,1,
hedid,,1,
dealingswith,,1,
thoughthere,,1,
afellow-man,,1,
whichinfest,,1,
lawyers,,1,n. 律师（lawyer的复数）
reliance,ri'laiәns,1,"n. 信任, 信赖, 受信赖的人(或事)\n[法] 信任, 信赖, 信心"
threescore,'θri:'skɒ:,1,n. 六十
theresponsibility,,1,
ideasinstead,,1,
timewhen,,1,
evidencesof,,1,
howthick,,1,
inner,'inә,1,"a. 内部的, 内心的\nn. 内部"
thread,θred,1,"n. 线, 丝, 纤维, 线索\nvt. 穿线于, 穿过, 通过, 用线穿成\nvi. 穿过\n[计] 线索, 线程"
sincereand,,1,
centipede,'sentipi:d,1,n. 百脚\n[医] 蜈蚣
greatestbores,,1,
cheek,tʃi:k,1,"n. 颊, 厚颜, 脸蛋\n[医] 颊"
eatof,,1,
sedimentwas,,1,
notknow,,1,
assume,ә'sju:m,1,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越"
governor,'gʌvәnә,1,"n. (美)州长, (英)总督, 统治者, 管理者, 理事\n[医] 节制器, 调节器"
pecunia,,1,[法] 有体动产
sundulations,,1,
oppositeside,,1,
maturing,mә'tjuәriŋ,1,"[计] 老化, 陈化"
sink,siŋk,1,"n. 藏垢的场所, 沟渠, 污水槽\nvi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透\nvt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
loving,'lʌviŋ,1,"a. 亲爱的, 钟情的, 忠诚的"
cousin,'kʌzәn,1,"n. 堂兄弟姊妹, 表兄弟姊妹\n[法] 同辈表亲或堂亲"
sages,,1,abbr. 半自动地面防空系统（semi-automatic ground environment system）
sturdiest,,1,a. 强壮的( sturdy的最高级 ); 结实的; 坚定的; 不退让的
harm,hɑ:m,1,"n. 伤害, 害处\nvt. 伤害, 损害"
deliberating,diˈlibəritɪŋ,1,"v. 仔细考虑( deliberate的现在分词 ); 研讨, 商讨"
ofleaving,,1,
felled,feld,1,"v. 砍倒, 打倒( fell的过去式 ); 砍倒, 打倒( fell的过去式和过去分词 ); 来临; 成为"
himsauntering,,1,
runaway,'rʌnә.wei,1,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜\na. 逃亡的, 逃走的"
duckling,'dʌkliŋ,1,n. 小鸭子
belts,,1,n. 带子；皮带（belt的复数）
amemory,,1,
vermin,'vә:min,1,"n. 害虫, 歹徒\n[医] 虫, 体外寄生虫(如蚤、臭虫、蚤等)"
coarsestmould,,1,
trim,trim,1,"n. 整齐, 情形, 修剪\na. 整齐的\nvt. 使整齐, 整理, 修剪\nvi. 调整, 见风使舵\n[计] 库存管理检查规则程序"
wantto,,1,
wouldsuspend,,1,
surprisinghow,,1,
continents,ˈkɔntinənts,1,"n. 洲, 大陆( continent的复数形式 ); 欧洲大陆（不包括英国和爱尔兰）"
withreverence,,1,
andwhistling,,1,
prevalence,'prevәlәns,1,"n. 普遍, 流行, 广泛\n[医] 流行, 盛行"
herald,'herәld,1,"n. 使者, 传令官, 先驱\nvt. 预报, 宣布, 传达, 欢呼"
abstinence,'æbstinәns,1,"n. 节制, 禁欲, 戒酒\n[医] 节制, 禁戒(如禁酒,节欲)"
notone,,1,
sled,sled,1,n. 雪撬\nvt. 用雪撬搬运\nvi. 乘雪撬\n[计] 单一大型贵重磁盘
enduranceand,,1,
animportant,,1,
pavement,'peivmәnt,1,"n. 路面, 人行道, 铺面路, 铺路材料"
derivation,.deri'veiʃәn,1,"n. 推论, 推导, 来历\n[医] 衍化, 诱导"
oneman,,1,
unkempt,'ʌnkempt,1,"a. 蓬乱的, 未被照管好的"
half-suppressed,,1,
countenance,'kauntәnәns,1,"n. 面容, 面部表情, 支持, 镇定"
oneexhibited,,1,
theymay,,1,
lateral,'lætәrәl,1,"n. 侧部, 支线, 边音\na. 侧面的, 旁边的"
weekin,,1,
ofthe,,1,
inconvenientand,,1,
confessions,kən'feʃnz,1,n. 承认( confession的复数形式 ); 自首; 声明; （向神父的）忏悔
evaporate,i'væpәreit,1,"vi. 蒸发, 失去水分, 消失\nvt. 使蒸发, 使脱水, 使消失"
fencing,'fensiŋ,1,"n. 围墙, 剑术\n[法] 围栏, 买卖赃物, 辩论"
uponus,,1,
toestablish,,1,
morevigorous,,1,
calledspiritual,,1,
achance,,1,
withoutexpressing,,1,
fellers,,1," [人名] 费勒斯"
pried,praɪd,1,"v. 打听, 刺探（他人的私事）( pry的过去式和过去分词 ); 撬开"
beforethey,,1,
pistol,'pistl,1,"n. 手枪, 信号枪\nvt. 以手枪杀死(或伤害)"
goodhand,,1,
chuckleof,,1,
thevarious,,1,
promisingthan,,1,
grades,,1,n. 分数；等级（grade的复数形式）
muddy,'mʌdi,1,"a. 泥泞的, 浑浊的, 模糊的\nvt. 使污浊, 使沾上泥污"
thicksunburnt,,1,
mangy,'meindʒi,1,"a. 疥癣的, 污秽的"
wascompensated,,1,
reproof,ri'pru:f,1,"n. 谴责, 非难\n[法] 谴责, 申诉, 责备"
greatconsumer,,1,
alloy,'ælɒi. ә'lɒi,1,"n. 合金\nvt. 将...铸成合金, 减低成色\nvi. 合铸"
visitation,.vizi'teiʃәn,1,"n. 访问, 探望, 视察"
slinks,slɪŋks,1,v. 偷偷溜走( slink的第三人称单数 ); 早产
humblewho,,1,
menoetius,,1,
stout,staut,1,a. 结实的；矮胖的；勇敢的；激烈的\nn. 矮胖子；烈性啤酒
awayto,,1,
felling,'feliŋ,1,"n. 二重接缝, 咬口折缝；伐木"
nointroduction,,1,
coincide,.kәuin'said,1,"vi. 一致, 符合\n[化] 重合"
frugal,'fru:gәl,1,"a. 节俭的, 朴素的"
thetown,,1,
menfrom,,1,
tothis,,1,
wasnot,,1,
potato,pә'teitәu,1,n. 马铃薯
quote,kwәut,1,"n. 引用\nvt. 引述, 举证, 报(价)\nvi. 引用"
flourishes,ˈflʌriʃiz,1,"v. 茂盛, 繁荣( flourish的第三人称单数 ); 兴旺发达; 挥动"
andornaments,,1,
sdefinition,,1,
bloodsucker,'blʌdsʌkә,1,"n. 吸血动物, 水蛭, 剥削他人者\n[医] 吸血者"
fishermen,,1,n. 渔夫；渔船（fisherman的复数形式）
verse,vә:s,1,"n. 诗, 韵文, 诗句\nvt. 用诗表达\nvi. 作诗"
rivers,,1,n. 里弗斯（人名）；河流州（尼日利亚州名）；河水钻
ofinexpressible,,1,
introduce,.intrә'dju:s,1,"vt. 介绍, 引入, 采用, 输入\n[法] 引进, 输入, 介绍"
satisfiedwith,,1,
re-origination,,1,
thoughtit,,1,
expediency,ik'spi:djәnsi,1,"n. 权宜, 方便, 私利"
writetheir,,1,
regret,ri'gret,1,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意\nvt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉\nvi. 感到抱歉"
couldnot,,1,
steadycourse,,1,
salutation,.sælju:'teiʃәn,1,"n. 招呼, 寒喧, 问候"
questionhad,,1,
frankness,'fræŋknis,1,"n. 率直, 坦白"
withtheir,,1,
retarded,ri'tɑ:did,1,a. 智力上迟钝的
itold,,1,
fearing,fiərɪŋ,1,v. 畏惧( fear的现在分词 ); 为…忧虑（或担心、焦虑）; 敬畏（神等）; 感到害怕
