word,phonetic,count,translation
rows,,4,n. 返回引用中的行数；行（row的复数形式）
pursued,pəˈsju:d,3,v. 继续( pursue的过去式和过去分词 ); 追求; 进行; 追捕
50,,2," fifty"
75,,2," seventy-five"
alternately,'ɒ:ltәnәtli,2,"adv. 交替地, 间隔地"
ceres,,2,
continued,kәn'tinju:d,2,"a. 继续的, 延续的\n[医] 连续的"
dews,,2,[经] 十元
guns,,2,n. 炮；枪（gun的复数）
harvested,ˈhɑ:vistid,2,"v. 收割, 收成( harvest的过去式和过去分词 ); 收到; 收割（庄稼）, 捕猎（动物、鱼）"
hive,haiv,2,"n. 蜂房, 闹区, 蜜蜂群\nvi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居\nvt. 使进蜂房, 储备\n[计] 蜂巢"
husbandman,'hʌzbәnmәn,2,"n. 农夫, 百姓, 饲养专家"
iteration,.itә'reiʃәn,2,"n. 重复, 反复说的话\n[计] 迭代"
planting,'plæntiŋ,2,"n. 种植, 栽培, 播种, 人工林, 花圃, 苗圃"
ranks,,2,"n. 队伍；用户等级, 级别（rank的复数）"
reins,reinz,2,"pl. 肾脏, 腰部, 肺腑"
theearth,,2,
tothe,,2,
upland,'ʌplәnd,2,"n. 山地, 高地, 高原\na. 高地的, 山地的"
worms,wә:mz. vɔ:rms,2,n. 蠕虫（worm的复数）
16,,1," sixteen"
33,,1," thirty-three"
54,,1," fifty-four"
7,,1,num. seven
94,,1," （网络聊天数字用语）就是"
aboutour,,1,
absorb,әb'sɒ:b,1,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收"
accompaniment,ә'kʌmpәnimәnt,1,"n. 伴随物, 附加物, 伴奏"
acheap,,1,
aclassic,,1,
aconstant,,1,
acorresponding,,1,
acreclean,,1,
aerialbrother,,1,
afair,,1,
afternoons-,,1,
again-,,1,
agood,,1,
agricola,ә'^rikәlә,1,n. 阿格里科拉（德国历史学家和矿物学家）
agrovelling,,1,
ahalf-cultivated,,1,
ahoe,,1,
ailed,eɪl,1,"vt. 使苦恼, 使烦恼\nvi. 生病\nn. 病痛, 苦恼"
alighted,ə'laɪt,1,vi. 下来；飞落\na. 烧着的；点亮着的
allharvest,,1,
allreflect,,1,
almostclean,,1,
aloud,ә'laud,1,"adv. 出声地, 大声地"
amateur,'æmәtә,1,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家"
ambassadors,æmˈbæsədəz,1,n. 大使( ambassador的复数形式 ); （派驻联合国等国际组织的）代表; 特使; [比喻]使者
anciently,'einʃәntli,1,"adv. 以往, 古代"
anda,,1,
andanother,,1,
andbe,,1,
andbreak,,1,
andcollapsed,,1,
andencouraging,,1,
andexhausted,,1,
andfinish,,1,
andfriendliness,,1,
andheedlessness,,1,
andhunting,,1,
andleaving,,1,
andothers,,1,
andso,,1,
andtatters,,1,
andtremulous,,1,
andunmixed,,1,
andvarious,,1,
anew,ә'nju:,1,"adv. 重新, 再"
aneye,,1,
angel,'eindʒәl,1,"n. 天使, 守护神, 善人"
anotherbout,,1,
antaeus,,1,
approaching,,1,v. 进场；侵入；接近（approach的ing形式）
arecivilized,,1,
areconcerned,,1,
arefor,,1,
armed,ɑ:md,1,"a. 有扶手的, 武装的, 有防卫器官的\n[法] 武装的, 持械的, ""F带武器的"
arrowheads,ˈærəʊhedz,1,n. 箭头( arrowhead的复数形式 ); 箭镟; 楔形符号; <植>慈菇
athim,,1,
attached,ә'tætʃt,1,"a. 附加的；依恋的, 充满爱心的"
attracts,əˈtrækts,1,v. 吸引( attract的第三人称单数 ); 使喜爱; 引起…的好感（或爱慕）; 具有吸引力
auxiliaries,,1,n. 辅助物；附属人员；附属机构（auxiliary的复数）
avarice,'ævәris,1,n. 贪婪
aversion,ә'vә:ʃәn,1,"n. 厌恶, 讨厌的事, 讨厌的人\n[医] 厌恶, 移转, 移位"
backwardand,,1,
bands,'bændz,1,n. 法官；乐队
