word,phonetic,count,translation
height,hait,8,"n. 高度, 海拔, 高地, 顶点\n[化] 高度"
surrounding,sә'raundiŋ,7,n. 环境\na. 周围的
ducks,,6,"n. 薄帆布工作服, 帆布裤子；鸭子（duck的复数）"
flint,flint,6,"n. 打火石, 燧石, 极硬的东西\n[化] 燧石"
purity,'pjuәrәti,6,"n. 纯净, 纯正, 纯粹\n[化] 纯度"
reflected,ri'flektid,6,a. 反射的；得自他人的
pickerel,'pikәrәl,5,n. 狗鱼
breeze,bri:z,4,"n. 微风, 煤屑, 轻而易举的事\nvi. 吹微风, 逃走"
depth,depθ,4,"n. 深度, 深处, 深奥\n[计] 深度"
insect,'insekt,4,"n. 昆虫, 卑鄙的人\n[医] 昆虫"
reflection,ri'flekʃәn,4,"n. 反映, 沉思, 映像, 想法, 责难\n[计] 反射"
shiners,,4,n. [纸] 透明点；发光物；杰出人物（shiner的复数）
agitated,'ædʒiteitid,3,"a. (表现出)不安/焦虑的, (被)激烈辩论的, (被)热烈讨论的, 颤抖的\n[医] 激越的"
canoe,kә'nu:,3,"n. 独木舟, 轻舟\nvi. 乘独木舟\nvt. 用独木舟运"
depths,,3,n. 深处；深渊
dimpling,'dimpliŋ,3,造窝
disturbed,di'stә:bd,3,a. 混乱的
formed,,3,"a. 成形的, 成形"
greenish,'gri:niʃ,3,a. 呈绿色的
hilltop,'hiltɒp,3,n. 小山顶
liquid,'likwid,3,"n. 液体, 流体, 流音\na. 液体的, 透明的, 明亮的, 流动的, 易变的"
mirror,'mirә,3,"n. 镜子, 写真, 典范\nvt. 反映, 映出"
model,'mɒdәl,3,"n. 模型, 模范, 模特儿\na. 模范的, 作模型用的\nvi. 做模型, 做模特儿\nvt. 使模仿, 塑造\n[计] 模型"
november,,3,
pouts,paʊts,3,"n. 撅嘴, 生气( pout的名词复数 )\nv. 撅（嘴）( pout的第三人称单数 )"
ripple,'ripl,3,"n. 涟波, 涟漪, 波纹, 粗钢梳\nvt. 使起涟漪\nvi. 起微波, 起潺潺声"
sank,sæŋk,3,sink的过去式
skaters,s'keɪtəz,3,n. 滑冰者（ skater的复数形式 ）
steep,sti:p,3,"n. 浸渍, 悬崖\na. 险峻的, 陡峭的, 急剧升降的, 夸大的\nv. 浸, 泡"
title,'taitl,3,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕\nvt. 授予头衔, 加标题于\n[计] 标题"
transparent,træns'pærәnt,3,"a. 透明的, 显然的, 清晰的\n[计] 透明"
weighing,'weiiŋ,3,[化] 称量
action,'ækʃәn,2,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式"
adventurously,əd'ventʃərəslɪ,2,adv. 爱冒险地
alders,ˈɔ:ldəz,2,n. 桤木( alder的复数形式 )
arc,ɑ:k,2,"n. 弧, 弧形, 弓形, 弧光\n[化] 弧"
attractive,ә'træktiv,2,"a. 吸引人的, 有魅力的\n[法] 有吸引力的, 有迷惑力的"
bather,'beiðә,2,"n. 入浴者, 游泳者"
bays,,2,n. 凹进处；吠声；桂冠；堤；港湾（bay的复数）
boiling,'bɒiliŋ,2,"a. 沸腾的, 激昂的\nadv. 沸腾"
brown,braun,2,n. 褐色\na. 褐色的\nv. (使)变褐色
chain,tʃein,2,"n. 链, 枷锁, 束缚\nvt. 用铁练锁住, 束缚, 囚禁"
clarified,ˈklærifaid,2,"v. 使清楚, 澄清( clarify的过去式和过去分词 ); （尤指通过加热使黄油）纯净; 说明; 使（头脑、神智等）清醒"
cobweb,'kɒbweb,2,"n. 蜘蛛网, 蛛丝, 混乱\nvt. 使布满蛛网"
coldest,,2,冷的\n寒冷的\n冷酷的\n冷淡的\n冷静的（cold的最高级）
colorless,'kʌlәrlis,2,a. 无色的\n[建] 无色
composed,kәm'pәuzd,2,"a. 镇静的, 沉着的"
congealed,kənd'ʒi:ld,2,"v. 使凝结, 冻结( congeal的过去式和过去分词 ); （指血）凝结"
corresponding,.kɒri'spɒndiŋ,2,"a. 相当的, 一致的, 通信的\n[计] 对应"
deepest,dipɪst,2,a. 深的（ deep的最高级 ）; 严重的; 深奥的; 有…深的
derived,,2,"a. 导出的；衍生的, 派生的"
discerned,diˈsə:nd,2,v. 看见( discern的过去式和过去分词 ); 辨明; 觉察出; 识别
drifted,driftid,2,v. 漂( drift的过去式和过去分词 ); 吹积; 漂泊; 浮现
duck,dʌk,2,"n. 鸭子\nvi. 没入水中, 闪避\nvt. 猛按...入水, 躲避"
